,$0.67,,Series Cost:,$1.36,,,,,
 ,,,,,,,,,
$865.85,Payment Received,PayPal Fee,Postage,Other Costs,,Purchase Price Offset,,DVD Cost:,1.15
2/9/2018,$6.00,-$0.47,-$2.79,,Rush Blu-Ray,$0.50,$2.09,,
2/12/2018,$5.00,-$0.45,-$2.66,,All in the Family Season 6 Disc 2 REPLACEMENT DISC,,$0.75,,
2/12/2018,$7.00,-$0.50,-$2.79,,Enemies Closer,$0.75,$3.31,,
2/12/2018,$4.75,-$0.44,-$2.79,,The King of Comedy,$0.75,$1.12,,
2/13/2018,$5.00,-$0.45,-$2.79,,Frozen,,$0.62,,
2/13/2018,$5.00,-$0.45,-$2.79,,Frozen,,$0.62,,
2/13/2018,$7.00,-$0.50,-$2.79,,Osmosis Jones,,$2.56,,
2/14/2018,$10.00,-$0.59,-$2.79,,Elvis - On Tour,$0.75,$6.22,,
2/14/2018,$15.00,-$0.74,-$2.79,,Godzilla's Revenge - All Monsters Attack,$0.75,$11.08,,
2/15/2018,$10.00,-$0.59,-$2.79,,All is Lost,$0.75,$6.22,,
2/15/2018,$5.00,-$0.45,-$2.79,,Best in Show,$0.75,$1.37,,
2/17/2018,,,,-$122.00,Purchased DVDs,,,,
2/18/2018,$9.00,-$0.56,-$2.79,,9,,$4.50,,
2/18/2018,$25.00,-$1.03,-$2.79,,Year of the Dragon,,$20.04,,
2/18/2018,$4.25,-$0.42,-$2.79,,Enough Said,,-$0.11,,
2/19/2018,$14.00,-$0.71,-$2.79,,Cinderella Blu-Ray,,$9.35,,
2/19/2018,,$0.00,,-$40.20,eBay Fees,,-$41.35,,
2/21/2018,$6.00,-$0.47,-$2.79,,True Blood Season 3,,$1.59,,
2/21/2018,$30.00,-$1.17,-$2.79,,Land of the Lost Complete Series,$0.75,$25.64,,
2/22/2018,$5.00,-$0.45,-$2.79,,Fruitvale Station,,$0.62,,
2/22/2018,$5.00,-$0.45,-$2.66,,Buffy the Vampire Slayer Season 5 Disc 6 REPLACEMENT DISC,,$0.75,,
2/23/2018,$5.25,-$0.45,-$2.79,,Et: The Extra-Terrestrial,$0.75,$1.61,,
2/23/2018,$5.00,-$0.45,-$2.79,,The Adventurer: The Curse of the Midas Box,,$0.62,,
2/25/2018,$5.00,-$0.45,-$2.79,,The Avengers,,$0.62,,
2/25/2018,$6.00,-$0.47,-$2.79,,George Thorogood and the Delaware Destroyers: 30th Anniversary DVD,,$1.59,,
2/25/2018,$4.75,-$0.44,-$2.79,,Ride Along,$0.75,$1.12,,
2/25/2018,$6.00,-$0.47,-$2.79,,Allan Quatermain: The Lost City of Gold,,$1.59,,
2/26/2018,$23.00,-$0.97,-$2.79,,Rose Red,,$18.09,,
2/27/2018,$9.00,-$0.56,-$2.79,,Allan Quatermain and the Lost City of Gold,$0.25,$4.75,,
2/28/2018,$8.00,-$0.53,-$2.79,,Fruitvale Station Blu-Ray and Digital,,$3.53,,
2/28/2018,$5.00,-$0.45,-$2.79,,Buffy the Vampire Slayer Season 5 Disc 5 REPLACEMENT DISC,$0.50,$1.12,,
3/1/2018,$4.75,-$0.44,-$2.79,,Ambushed,$0.75,$1.12,,
3/1/2018,$7.25,-$0.51,-$2.79,,The American President,$0.75,$3.55,,
3/1/2018,$15.00,-$0.74,-$2.79,,MacGyver Season 5,$0.50,$10.83,,
3/1/2018,$7.00,-$0.50,-$2.79,,The Pursuit of Happyness ,$0.75,$3.31,,
3/1/2018,$8.50,-$0.55,-$2.79,,MacGuyver Season 1,$0.50,$4.51,,
3/2/2018,$11.00,-$0.62,-$2.79,,About Cherry,$0.75,$7.19,,
