,,,,,,,,,
 ,,,,,,,,,
"$1,895.82",Payment Received,PayPal Fee,Postage,Other Costs,,"Purchase Price
Offset",,MovieList Key,Flags
,"$4,392.00",-$250.97,"-$1,237.28","-$1,007.93",,,,,
1/1/2021,$6.00,-$0.47,-$2.89,,The Wedding Dress,,$2.64,,
1/1/2021,$10.00,-$0.59,-$2.89,,Fargo Season 2,,$6.52,,
1/1/2021,$7.00,-$0.50,-$2.89,,The Undefeated,,$3.61,,
1/1/2021,$7.00,-$0.50,-$2.89,,The Bible,,$3.61,,
1/2/2021,,$0.00,,-$17.35,Purchased mailers,,-$17.35,,
1/5/2021,$9.00,-$0.56,-$2.89,,The Mentalist Season 1,,$5.55,,
1/9/2021,$8.00,-$0.53,-$2.89,,Big History,,$4.58,,
1/4/2021,$6.00,-$0.47,-$2.89,,Greyhound Attack,,$2.64,,
1/8/2021,$15.00,-$0.74,-$2.89,,XBOX 360 Magazine Guitar Hero,,$11.38,,doNotMatch
1/9/2021,,,,-$75.00,Purchased DVDs,,,,
1/11/2021,$15.00,-$0.74,-$2.89,,Teen Wolf Season 6 Part 1,,$11.38,,
1/11/2021,$17.00,-$0.79,-$2.89,,Newhart Season 2,,$13.32,,
1/11/2021,$7.00,-$0.50,-$2.89,,Comanche Moon Lonsome Dove,,$3.61,,
1/11/2021,$12.00,-$0.65,-$2.89,,A Midnight Clear,,$8.46,,
1/12/2021,$7.00,-$0.50,-$2.89,,Criminal Minds Season 3,,$3.61,,
1/12/20210,$10.00,-$0.59,-$2.89,,Andersonville,,$6.52,,
1/13/2021,$10.00,-$0.59,-$2.89,,History Classics: America's Most Haunted Places,,$6.52,,doNotMatch
1/15/2021,$9.50,-$0.58,-$2.89,,Castle Keep,,$6.03,,
1/16/2021,$6.00,-$0.47,-$2.89,,D Day The Sixth of June,,$2.64,,
1/17/2021,$14.00,-$0.71,-$2.89,,Connecting Worlds The Chicago Portage,,$10.40,,
1/18/2021,$9.00,-$0.56,-$2.89,,National Geographic Inside 911,,$5.55,,doNotMatch
1/19/2021,$35.00,-$1.32,-$2.89,,Toots,,$30.80,,
1/19/2021,$14.50,-$0.72,-$2.89,,Ghost Hunters 2004 Season 2 Part 2,,$10.89,Ghost Hunters 2004 Season 2,
1/20/2021,$19.00,-$0.85,-$2.89,,Heaven Knows Mr Allison,,$15.26,,
1/19/2021,,$0.00,,-$28.25,eBay Fees,,-$28.25,,
1/24/2021,$10.50,-$0.60,-$2.89,,The Blue Max,,$7.01,,
1/24/2021,$8.50,-$0.55,-$2.89,,Into the White,,$5.06,,
1/28/2021,$11.00,-$0.62,-$2.89,,The Survivors,,$7.49,,
1/29/2021,$17.00,-$0.79,-$2.89,,Newhart Season 6,$0.75,$14.07,,
1/30/2021,$6.00,-$0.47,-$2.89,,Boys Town,,$2.64,,
1/30/2021,$15.00,-$0.74,-$2.89,,Ghost Hunters Season 2 Part 2,,$11.38,,
1/31/2021,$25.00,-$1.03,-$2.89,,Adventures of Superman Season 2,$0.34,$21.43,,
1/31/2021,$9.50,-$0.58,-$2.89,,Deep Cover,,$6.03,,
2/1/2021,$13.00,-$0.68,-$2.89,,The Eagles Farewell Tour Melbourne,,$9.43,,
2/2/2021,$18.00,-$0.82,-$2.89,,Newhart Season 5,$0.75,$15.04,,
2/3/2021,$22.00,-$0.94,-$2.89,,The Crash of Flight 191,,$18.17,,
2/3/2021,$6.00,-$0.47,-$2.89,,The Jeff Foxworthy Show Complete sereis,,$2.64,,doNotMatch
2/5/2021,$11.00,-$0.62,-$3.58,,The Devil's Brigade,,$6.80,,
2/6/2021,$6.50,-$0.49,-$2.89,,CSI Miami Season 2,,$3.12,,
2/6/2021,$13.50,-$0.69,-$2.89,,The Honeymooners Classic 39 Episodes,,$9.92,,
