,,,,,,,,,
 ,,,,,,,,,
$144.09,Payment Received,PayPal Fee,Postage,Other Costs,,"Purchase Price
Offset",,MovieList Key,Flags
,$209.50,-$11.18,-$54.23,$0.00,,,,,
1/1/2022,$8.50,-$0.55,-$3.19,,Thats Entertainment 02,,$4.76,,
1/3/2022,$7.00,-$0.50,-$3.19,,QB VII,,$3.31,,
1/4/2022,$16.00,-$0.76,-$3.19,,Prison Break The Final Break,,$12.05,,
1/6/2022,$10.00,-$0.59,-$3.19,,Possum,$0.80,$7.02,,
1/6/2022,$35.00,-$1.32,-$3.19,,Most Extreme Elimination Challenge Season 1,,$30.50,,
1/7/2022,$20.00,-$0.88,-$3.19,,The Howlin Wolf Story,,$15.93,,
1/8/2022,$6.50,-$0.49,-$3.19,,Game of Thrones Season 2,,$2.82,,
1/10/2022,$14.00,-$0.71,-$3.19,,Babylon 5 Season 5,-$2.00,$8.10,,
1/13/2022,$6.00,-$0.47,-$3.19,,Omkara,,$2.34,,
1/14/2022,$30.00,-$1.17,-$3.19,,Scrubs Season 5,,,,
1/15/2022,$7.25,-$0.51,-$3.19,,Dont Tempt Me,,$3.55,,
1/15/2022,$6.00,-$0.47,-$3.19,,Scrubs Season 4,,$2.34,,
1/16/2022,$6.75,-$0.50,-$3.19,,A Sound of Thunder,-$0.30,$2.76,,
1/16/2022,$13.00,-$0.68,-$3.19,,Husbands,,$9.13,,
1/16/2022,$6.00,-$0.47,-$3.19,,The Quarry,,$2.34,,
1/16/2022,$10.50,-$0.60,-$3.19,,NCIS Los Angeles Season 5,$1.00,$7.71,,
1/16/2022,$7.00,-$0.50,-$3.19,,MacGyver Season 1,-$0.51,$2.80,,
1/17/2022,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
