,,$72.50,Battle of the Planets Complete Series,,,,,,,
 ,,-$532.00,Inventory cost (DVDs and CDs),,,,,,,
,,,,,,,,,,
"$1,022.04",Payment Received,Sales Fees,Postage,Other Costs,Title,"Purchase Price
Offset",,MovieList Key,Flags,Group ID
,"$5,662.82","-$1,115.42","-$2,279.93","-$1,245.43",,,,,,
9/25/2024,$7.65,-$1.59,-$4.41,,Illinois Central Past and Present,$0.79,$2.44,,doNotMatch,2419
9/25/2024,$7.00,-$1.48,-$4.43,,The Gambler,$0.79,$1.88,,,2419
9/26/2024,$7.50,-$1.57,-$4.63,,Swing Time The Fabulous Big Bang Era by Various CD,$0.77,$2.07,,,2420
9/26/2024,$7.50,-$1.57,-$4.63,,Jump Jive and Swing by Various CD,$0.79,$2.09,,,2411
9/27/2024,$8.00,-$1.65,-$4.43,,Thunderheart,-$0.38,$1.54,,,-
9/28/2024,$12.75,-$2.45,-$4.55,,Powerslave by Iron Maiden CD,$0.77,$6.51,,,2420
10/1/2024,,,,-$21.95,eBay Store Basic Subscription,,,,,
10/1/2024,$8.00,-$1.65,-$4.38,,Weeds Season 8,$0.79,$2.76,,,2419
10/1/2024,$9.00,-$1.82,-$4.38,,Poolhall Junkies,$0.30,$3.10,,,2418
10/2/2024,$7.00,-$1.48,-$4.63,,Totally Fit Mel B,$0.78,$1.67,,,2410
10/2/2024,$8.00,-$1.65,-$4.63,,Gilmore Girls Season 6,$0.78,$2.50,,,2410
10/2/2024,$9.00,-$1.82,-$4.21,,Heartbreak Hotel,-$0.11,$2.86,,,2422
10/3/2024,$7.25,-$1.53,-$4.63,,Knight Rider Season 1,-$0.03,$1.07,,,2417
10/3/2024,$27.00,-$4.86,-$4.21,,Nightmares for the Banished by Seraphim Shock CD,$0.79,$18.71,,,2411
10/3/2024,$11.75,-$2.29,-$4.55,,McHales Navy Season 4,-$1.50,$3.41,,,2403
10/4/2024,$8.75,-$1.78,-$4.31,,The Jazz Singer,-$0.11,$2.55,,,2422
10/4/2024,$12.00,-$2.33,-$4.63,,Company of Wolves by Company of Wolves CD,$0.77,$5.81,,,2420
10/4/2024,$7.00,-$1.48,-$4.38,,Brothers and Sisters by The Allman Brothers Band CD,$0.77,$1.90,,,2420
