,,$48.00,Gold by Mira Kubasinska CD,,,$11.19,Average Sale Price,,,
 ,,-$233.35,Inventory cost (DVDs and CDs),,,$9.75,Median Sale Price,,,
$7.22,,64,Current Day Streak,,,,,,,
,,64,Longest streak (Jan 01 to Mar 05),,,,,,,
,,,,,,,,,,
$493.89,Payment Received,Sales Fees,Postage,Other Costs,Title,"Purchase Price
Offset",Net Gain,MovieList Key,Flags,Group ID
3/4/2026,$9.00,-$1.82,-$4.47,,Earth 2,$0.50,$3.21,,,2516
3/4/2026,$9.75,-$1.95,-$4.47,,Escape from LA,-$1.08,$2.25,,,2526
3/4/2026,$8.00,-$1.65,$0.00,,The Train,$0.87,$7.21,,,2515
3/5/2026,$7.50,-$1.57,-$4.47,,Capitol Collectors Series by The Seekers CD,$0.71,$2.17,,,2529
3/5/2026,$10.50,-$2.07,-$4.47,,Ivanhoe ,$0.87,$4.82,,,2515
3/5/2026,$11.00,-$2.16,-$4.47,,NCIS Season 11,-$0.26,$4.11,,,2525
3/5/2026,$11.00,-$2.16,-$4.47,,Code Monkeys Season 1,-$0.19,$4.18,,,2522
3/5/2026,$10.50,-$2.07,-$4.47,,WFMTs 60th Anniversary Diamond Jubilee Collection by Various CD,$0.71,$4.66,,,2529
3/6/2026,$13.25,-$2.54,-$4.47,,The Barbarian and the Geisha,$0.87,$7.11,,,2515
3/6/2026,$9.00,-$1.82,-$4.47,,Three Daring Daughters,$0.87,$3.57,,,2515
3/7/2026,,,,-$47.00,Purchased DVDs,,,,,
3/7/2026,$8.60,-$1.75,-$4.47,,Still Small Voices,$0.60,$2.98,,,2514
3/8/2026,$15.00,-$2.84,-$4.47,,Swiss Miss,$0.87,$8.56,,,2515
