,,,,,,,,,
 ,,,,,,,,,
"$1,114.10",Payment Received,PayPal Fee,Postage,Other Costs,,"Purchase Price
Offset",,MovieList Key,Flags
3/23/2022,$14.00,-$0.71,-$3.19,,200 Cigarettes,,$10.10,,
4/2/2022,$7.50,-$0.52,-$3.19,,The Closer Season 3,-$2.00,$1.79,,
4/3/2022,$6.50,-$0.49,-$3.19,,Lightning Strikes West / Phantom Thunderbolt,,$2.82,,doNotMatch
4/3/2022,$6.50,-$0.49,-$3.19,,Dinner Rush,,$2.82,,
4/3/2022,$7.00,-$0.50,-$3.19,,Das Boot,,$3.31,,
4/4/2022,$7.50,-$0.52,-$3.19,,Keith Urban Love Pain and The Whole Crazy World Tour,,$3.79,,
4/5/2022,$9.00,-$0.56,-$3.19,,NCIS Season 10,-$2.00,$3.25,,
4/5/2022,$9.00,-$0.56,-$3.19,,The Bob Newhart Show Season 4,-$2.00,$3.25,,
4/5/2022,$5.50,-$0.46,-$3.19,,Salton Sea,,$1.85,,
4/5/2022,$6.50,-$0.49,-$3.19,,Mercy,,$2.82,,
4/7/2022,$12.00,-$0.65,-$3.19,,True Lies,$0.77,$8.93,,
4/8/2022,$15.00,-$0.74,-$3.19,,Aqua Teen Hunger Force Season 5,,$11.08,,
4/11/2022,$6.50,-$0.49,-$3.19,,Little Women 1949,$0.67,$3.49,,doNotMatch
4/11/2022,$6.50,-$0.49,-$3.19,,Vertigo,,$2.82,,
4/14/2022,$5.53,-$0.46,-$3.19,,XBOX Magazine Demo Disk #86,,$1.88,,doNotMatch
4/18/2022,$8.00,-$0.53,-$3.19,,Robot Chicken Searson 4,$0.67,$4.95,,
4/19/2022,$7.00,-$0.50,-$3.19,,John and Mary,$0.67,$3.98,,
4/19/2022,$9.00,-$0.56,-$3.19,,Major League BLU-RAY,$0.67,$5.92,,
4/21/2022,$15.00,-$0.74,-$3.19,,Bloodsport / Time Cop BLU-RAY,$0.67,$11.75,,
4/22/2022,$5.75,-$0.47,-$3.19,,Revenge of the Nerds BLU-RAY,,$2.09,,
4/23/2022,$12.00,-$0.65,-$3.19,,Real Genius,$0.67,$8.83,,
4/28/2022,$20.00,-$0.88,-$3.19,,The Human Centipede,$0.67,$16.60,,
4/30/2022,$13.00,-$0.68,-$3.19,,Howards End,,$9.13,,
5/1/2022,$7.50,-$0.52,-$3.19,,On Golden Pond,-$0.65,$3.14,,
5/2/2022,$6.00,-$0.47,-$3.19,,Heroes Season 3,$0.70,$3.04,,
5/4/2022,$12.00,-$0.65,-$3.19,,John Grisham Quad-Feature,$0.67,$8.83,,doNotMatch
5/6/2022,$9.00,-$0.56,-$3.82,,Stargate SG-1 Season 8,-$2.00,$2.62,,
5/7/2022,$16.00,-$0.76,-$3.19,,Side Out,$0.67,$12.72,,
5/7/2022,,,,-$250.00,Purchased DVDs,,,,
5/11/2022,$7.00,-$0.50,-$3.19,,Avengers Endgame,$0.67,$3.98,,
5/11/2022,$9.50,-$0.58,-$3.19,,John Michael Montgomery Very Best,,$5.73,,
5/11/2022,$11.00,-$0.62,-$3.19,,Scream 4 BLU-RAY,$0.67,$7.86,,
5/12/2022,$6.00,-$0.47,-$3.19,,Vanhelsin BLU-RAY,$0.67,$3.01,,
5/13/2022,$7.00,-$0.50,-$3.19,,The Boy in the Striped Pajamas,,$3.31,,
5/14/2022,,,,-$14.00,Purchased DVDs,,,,
5/15/2022,$6.75,-$0.50,-$3.19,,Comedy Central Roast of Denis OlLeary,$0.67,$3.73,,
5/15/2022,$8.00,-$0.53,-$3.19,,Black Sabbath The Last Supper,,$4.28,,
5/16/2022,$17.00,-$0.79,-$3.19,,Loose Change,,$13.02,,
5/16/2022,,$0.00,,-$41.67,Purchased Padded Mailers,,-$41.67,,
5/17/2022,$9.00,-$0.56,-$3.19,,Leon The Professional BLU-RAY,$0.67,$5.92,,
5/18/2022,$5.50,-$0.46,-$3.19,,Arista 25 Years of No 1 Hits,,$1.85,,doNotMatch
5/21/2022,,$0.00,,-$20.00,Purchased DVDs,,-$20.00,,
5/23/2022,$6.50,-$0.49,-$3.19,,JAG Season 3,,$2.82,,
5/23/2022,$8.00,-$0.53,-$3.19,,Criminsl Minds Season 10,,$4.28,,
5/24/2022,$7.00,-$0.50,-$3.19,,Cabin Fever 2,$0.67,$3.98,,
5/25/2022,$9.00,-$0.56,-$3.76,,Sealab 2021 Season 3,,$4.68,,
5/25/2022,$6.00,-$0.47,-$3.19,,NCIS Season 7,,$2.34,,
5/26/2022,$7.00,-$0.50,-$3.19,,Vacation BLU-RAY,$0.67,$3.98,,
5/27/2022,$9.50,-$0.58,-$3.19,,Speed / Speed 2  BLU-RAY,$0.67,$6.40,,
5/27/2022,$7.00,-$0.50,-$3.19,,NCIS Season 9,,$3.31,,
5/28/2022,$7.00,-$0.50,-$3.19,,Criminal Minds Season 8,,$3.31,,
5/28/2022,,,,-$71.00,Purchased DVDs,,,,
5/31/2022,$16.50,-$0.78,-$3.19,,Rapid Fire,$0.67,$13.20,,
5/31/2022,$6.00,-$0.47,-$3.19,,The Crazies BLU-RAY,$0.67,$3.01,,
5/31/2022,$6.00,-$0.47,-$3.19,,NCIS Season 8,,$2.34,,
5/31/2022,$20.00,-$0.88,-$3.19,,NCIS Season 14,,$15.93,,
6/1/2022,$8.00,-$0.53,-$3.19,,Spawn BLU-RAY,,$4.28,,
6/1/2022,$8.00,-$0.53,-$3.19,,Supernatural Season 8,,$4.28,,
6/4/2022,$6.00,-$0.47,-$3.19,,The Big Bang Theory Season 8,-$0.75,$1.59,,
6/4/2022,$6.75,-$0.50,-$3.19,,Buffy the Vampire Slayer Season 5,,$3.06,,
6/7/2022,$6.00,-$0.47,-$3.19,,Stevie Ray Vaughan and Double Trouble Live From Austin,,$2.34,,
6/9/2022,$10.50,-$0.60,-$3.19,,Supernatural Season 7,,$6.71,,
6/10/2022,$7.00,-$0.50,-$3.19,,The Story of God with Morgan Freeman,$0.67,$3.98,,doNotMatch
6/10/2022,$7.50,-$0.52,-$3.19,,Paul,,,,
6/11/2022,,$0.00,,-$54.00,Purchased DVDs,,-$54.00,,
6/13/2022,$14.00,-$0.71,-$3.19,,200 Degrees,,$10.10,,
6/15/2022,$11.00,-$0.62,-$3.19,,Criminal Minds Season 9,,$7.19,,
6/15/2022,$6.00,-$0.47,-$3.19,,NCIS Season 5,,$2.34,,
6/18/2022,$9.00,-$0.56,-$3.19,,Walking Tall BLU-RAY,$0.67,$5.92,,
6/18/2022,$6.00,-$0.47,-$3.19,,Ant Man and the Wasp DVD ONLY,$0.80,$3.14,,doNotMatch
6/21/2022,$11.00,-$0.62,-$3.19,,Summer Storm,,$7.19,,
6/21/2022,$5.50,-$0.46,-$3.81,,American Experience Command and Control,,$1.23,,
6/21/2022,$11.00,-$0.62,-$3.19,,NCIS Season 12,,$7.19,,
6/23/2022,$7.00,-$0.50,-$3.19,,Predator / Predator 2 / AVP,$0.67,$3.98,,doNotMatch
6/23/2022,$6.50,-$0.49,-$3.19,,Confessions of a Dangerous Mind BLU-RAY,,$2.82,,
6/24/2022,$7.50,-$0.52,-$3.19,,Supernatural Season 4,,$3.79,,
6/27/2022,$7.00,-$0.50,-$3.19,,NCIS New Orleans Season 1,-$2.00,$1.31,,
6/29/2022,$8.00,-$0.53,-$3.19,,The Long Way Home,,$4.28,,
6/29/2022,$10.00,-$0.59,-$3.19,,The Tick Season 1,-$2.00,$4.22,,
6/29/2022,$6.50,-$0.49,-$3.19,,Criminal Minds Season 2,,$2.82,,
6/30/2022,$10.00,-$0.59,-$3.19,,Criminal Minds Season 11,,$6.22,,
7/5/2022,$6.75,-$0.50,-$3.19,,Buffy the Vampire Slayer Season 4,,$3.06,,
7/5/2022,$8.25,-$0.54,-$3.19,,Law and Order Season 3,-$2.00,$2.52,,
7/5/2022,$17.00,-$0.79,-$3.19,,Poison Live Raw and Uncut,,$13.02,,
7/5/2022,$7.50,-$0.52,-$3.19,,Fear and Loathing in Las Vegas,$0.70,$4.49,,
7/6/2022,$8.00,-$0.53,-$3.19,,First Blood / Copland / Lockup BLU-RAY,$0.81,$5.09,,
7/8/2022,$14.50,-$0.72,-$3.19,,Las Vegas Season 1,-$2.00,$8.59,,
7/9/2022,$7.00,-$0.50,-$3.19,,Mr Bean: The Whole Bean,$0.69,$4.00,,doNotMatch
7/9/2022,$38.00,-$1.40,-$3.19,,Star Trek Original Series,,$33.41,,doNotMatch
7/10/2022,$13.00,-$0.68,-$3.19,,The Andy Griffith Show Season 6,,$9.13,,
7/11/2022,$9.50,-$0.58,-$3.49,,The Rolling Stones 40 Licks CD,$0.79,$6.22,,doNotMatch
7/11/2022,$25.00,-$1.03,-$4.83,,Stargate Atlantis Complete Series,,$19.15,,doNotMatch
7/11/2022,$11.25,-$0.63,-$3.42,,The Chick Corea Electrik Band CD,$0.79,$7.99,,doNotMatch
7/12/2022,$6.00,-$0.47,-$3.49,,Supernatural Season 1,,$2.04,,
7/14/2022,$8.00,-$0.53,-$3.49,,The Thing BLU-RAY,$0.69,$4.67,,
7/17/2022,$6.75,-$0.50,-$3.49,,Criminal Minds Season 3,,$2.76,,
7/17/2022,$7.00,-$0.50,-$3.49,,Back to the Future Trilogy,$0.69,$3.70,,doNotMatch
7/17/2022,$10.00,-$0.59,-$3.49,,The Specialist / Tango and Cash BLU-RAY,$0.67,$6.59,,
7/17/2022,$10.00,-$0.59,-$3.49,,Streets of Laredo,,$5.92,,
7/19/2022,$7.50,-$0.52,-$3.49,,Rush - Fly By Night CD,$0.81,$4.30,,doNotMatch
7/21/2022,$22.00,-$0.94,-$3.49,,Steely Dan Two Against Nature,$0.81,$18.38,,
7/22/2022,$11.50,-$0.63,-$3.49,,Stargate BLU-RAY,$0.81,$8.19,,
7/22/2022,$15.00,-$0.74,-$3.49,,NCIS Season 13,,$10.78,,
7/22/2022,$6.50,-$0.49,-$3.49,,Bachelor Party Vegas,,$2.52,,
7/22/2022,$16.00,-$0.76,-$3.49,,Kids,,$11.75,,
7/22/2022,$14.00,-$0.71,-$3.49,,The Tick Season 2,-$2.00,$7.80,,
7/22/2022,$8.50,-$0.55,-$3.49,,The Rippingtons - Kilimanjaro CD,$0.81,$5.27,,
7/22/2022,,$0.00,,-$35.00,Purchased DVDs,,-$35.00,,
7/23/2022,$7.50,-$0.52,-$3.49,,Warehouse 13 Season 1,$1.00,$4.49,,
7/23/2022,$6.50,-$0.49,-$3.49,,Rush - Permanent Waves CD,-$0.69,$1.83,,
7/25/2022,$30.00,-$1.17,-$3.49,,Lip Service Season 1 BLU-RAY,-$2.00,$23.34,,
7/25/2022,,,,-$15.00,Purchased DVDs,,,,
7/26/2022,$8.50,-$0.55,-$3.49,,Sealab 2021 Season 4,,$4.46,,
7/26/2022,$10.00,-$0.59,-$3.99,,XBOX 360 Magazine Tomb Raider Underworld Demo,,$5.42,,doNotMatch
7/27/2022,$6.00,-$0.47,-$3.49,,David Sanborn - Voyeur CD,$0.81,$2.85,,
7/27/2022,$9.50,-$0.58,-$3.49,,Cowboy Mouth,,$5.43,,doNotMatch
7/27/2022,$12.00,-$0.65,-$3.49,,Homeless to Harvard,,$7.86,,
7/28/2022,$20.00,-$0.88,-$3.49,,Its Always Sunny in Philadelphia Season 9,,$15.63,,
7/29/2022,$5.50,-$0.46,-$3.49,,Jackson Brown - Late for the Sky CD,$0.81,$2.36,,
7/29/2022,$7.25,-$0.51,-$3.49,,Rambo First Blood / Rambo The Fight Continues BLU-RAY,,$3.25,,doNotMatch
7/30/2022,$6.00,-$0.47,-$3.49,,High Crime by Al Jarreau CD,$0.81,$2.85,,
7/30/2022,$9.50,-$0.58,-$3.49,,Adventure Time Season 3,$0.56,$5.99,,
8/1/2022,$10.00,-$0.59,-$3.49,,Supernatural Season 10,,$5.92,,
8/3/2022,$7.00,-$0.50,-$3.49,,NCIS Season 10,,$3.01,,
8/3/2022,$10.00,-$0.59,-$3.49,,Best of ARS CD,$0.81,$6.73,,
8/8/2022,$6.50,-$0.49,-$3.49,,John Coltrane - Giant Steps CD,$0.81,$3.33,,
8/9/2022,$5.75,-$0.47,-$3.49,,Limitless,,$1.79,,
8/10/2022,$9.00,-$0.56,-$3.49,,XBOX Magazine Demo March 2008,,$4.95,,doNotMatch
8/10/2022,$7.00,-$0.50,-$3.49,,Supernatural Season 9,,$3.01,,
8/13/2022,$6.50,-$0.49,-$3.49,,The Simpsons Season 2,-$0.70,$1.82,,
8/13/2022,$7.00,-$0.50,-$3.49,,Love and Mercy,,$3.01,,
8/13/2022,,,,-$17.00,Purchased DVDs,,,,
8/14/2022,$6.50,-$0.49,-$3.49,,JAG Season 4,,$2.52,,
8/14/2022,$7.00,-$0.50,-$3.49,,Say Anything BLU-RAY,$0.69,$3.70,,
8/14/2022,$7.00,-$0.50,-$4.16,,MacGyver Season 1,,$2.34,,
8/15/2022,$9.00,-$0.56,-$3.49,,The Temp,-$1.00,$3.95,,
8/15/2022,$14.00,-$0.71,-$3.49,,Bullet to Head / Cobra / Assassins / Get Carter,-$0.65,$9.15,,doNotMatch
8/16/2022,$22.00,-$0.94,-$3.49,,The Pretender Season 3,-$10.00,$7.57,,
8/17/2022,,$0.00,,,,,$0.00,,
8/17/2022,,$0.00,,,,,$0.00,,
8/19/2022,$15.50,-$0.75,-$3.49,,John Wayne: The Fugitive / Next of Kin / On the Run,,$11.26,,doNotMatch
8/20/2022,$8.00,-$0.53,-$3.49,,Angel Season 5,,$3.98,,
8/22/2022,$6.00,-$0.47,-$3.49,,Angel Season 4,,$2.04,,
8/22/2022,$22.00,-$0.94,-$4.83,,The Nightmare on Elm Street Collection,,$16.23,,doNotMatch
8/22/2022,$8.00,-$0.53,-$3.49,,Blow Out,,$3.98,,
8/22/2022,$13.00,-$0.68,-$3.49,,Miami Vice Complete Series,-$15.00,-$6.17,,doNotMatch
8/24/2022,$9.00,-$0.56,-$3.49,,Polvo - In Prism CD,$0.88,$5.83,,
8/25/2022,$13.00,-$0.68,-$3.49,,Hank Williams - Rebel Within CD,$0.81,$9.64,,
8/25/2022,$6.50,-$0.49,-$3.49,,NCIS Season 11,,$2.52,,
8/26/2022,$7.00,-$0.50,-$3.49,,Fury BLU-RAY,,$3.01,,
8/26/2022,$6.00,-$0.47,-$3.49,,La La Land DVD ONLY,$0.78,$2.82,,doNotMatch
8/27/2022,$6.00,-$0.47,-$3.49,,Heroes Season 3,$0.59,$2.63,,
8/27/2022,$35.00,-$1.32,-$3.49,,Dark Angel Season 2,,$30.20,,
8/27/2022,,$0.00,,-$130.00,Purchased DVDs,,-$130.00,,
8/29/2022,$14.00,-$0.71,-$3.49,,Team Sleep - Team Sleep CD,$0.71,$10.51,,
8/29/2022,$6.50,-$0.49,-$3.49,,Game Night DVD ONLY,$0.78,$3.30,,doNotMatch
8/30/2022,$9.00,-$0.56,-$3.49,,Hide and Seek,,$4.95,,
8/30/2022,$20.00,-$0.88,-$3.49,,Forever Complete Series,,$15.63,,doNotMatch
8/30/2022,$6.00,-$0.47,-$3.49,,Criminal Minds Season 1,,$2.04,,
8/30/2022,$12.00,-$0.65,-$3.49,,Leverage Season 4,,$7.86,,
8/30/2022,$7.00,-$0.50,-$3.49,,Dead Like Me Season 1,-$1.00,$2.01,,
9/1/2022,$6.00,-$0.47,-$3.49,,Rush - Test for Echo CD,$0.79,$2.83,,
9/1/2022,$6.50,-$0.49,-$3.49,,Rush - Counterparts CD,$0.79,$3.31,,
9/4/2022,,,,-$35.37,Purchased #2 Padded Mailers,,,,
9/5/2022,$8.00,-$1.47,-$3.49,,Big Little Lies Season 2,,$3.04,,
9/5/2022,$15.00,-$2.49,-$3.49,,Dream Lover,,$9.02,,
9/6/2022,$5.50,-$1.10,-$3.49,,Take Me Out to a Cubs Game CD,$0.81,$1.72,,
9/6/2022,$9.00,-$1.61,-$3.49,,JAG Season 8,,$3.90,,
9/9/2022,$6.50,-$1.25,-$3.49,,Stargate ST-1 Season 3,,$1.76,,
9/10/2022,$7.00,-$1.32,-$3.49,,The Last Action Hero BLU-RAY,$0.59,$2.78,,
9/15/2022,$9.50,-$1.69,-$4.16,,B and of Brothers,,$3.65,,
9/17/2022,$16.00,-$2.64,-$3.49,,The Pretender Season 2,-$9.00,$0.87,,
9/17/2022,,$0.00,,-$40.00,Purchased DVDs,,-$40.00,,
9/17/2022,,$0.00,,-$20.60,Purchased Packing Tape,,-$20.60,,
9/19/2022,$12.00,-$2.05,-$3.49,,Heartbreak - Romanic Encores for Vilolin by Elissa Lee Koljonen CD,$0.75,$7.21,,
9/19/2022,$6.25,-$1.21,-$3.49,,The Best of Chick Corea CD,$0.75,$2.30,,
9/19/2022,$7.00,-$1.32,-$3.49,,Bones Season 8,,$2.19,,
9/20/2022,,$0.00,,,,,$0.00,,
9/20/2022,,$0.00,,,,,$0.00,,
9/21/2022,$9.00,-$1.61,-$3.49,,Stargate SG-1 Season 9,,$3.90,,
9/21/2022,$9.00,-$1.61,,-$1.00,Stargate SG-1 Season 10,,$6.39,,
9/24/2022,$28.00,-$4.39,-$3.49,,The Pretender Season 4,-$10.00,$10.12,,
9/26/2022,$8.00,-$1.47,-$3.49,,The Outpost,,$3.04,,
9/26/2022,$50.00,-$7.60,-$3.49,,Maverick Season 2,,$38.91,,
9/30/2022,$10.00,-$1.76,-$3.49,,Tru Calling Season 1,,$4.75,,
9/30/2022,$30.00,-$4.68,-$3.49,,Charmed Season 5-8,,$21.83,,doNotMatch
9/30/2022,$6.00,-$1.18,-$3.49,,Two Broke Girls Season 2,,$1.33,,
10/1/2022,$6.50,-$1.25,-$3.49,,The Haunting,$0.81,$2.57,,
10/1/2022,$5.75,-$1.14,-$3.49,,REM - Out of Time CD,$0.81,$1.93,,
10/1/2022,,$0.00,,-$4.00,Purchased DVDs,,-$4.00,,
10/4/2022,$6.50,-$1.25,-$3.49,,The Last Man DVD ONLY,$0.80,$2.56,,doNotMatch
10/4/2022,$8.50,-$1.54,-$3.49,,The Hannibal Lector Collection,,$3.47,,doNotMatch
10/5/2022,,$0.00,,-$30.66,Purchased #4 Padded Mailers,,-$30.66,,
10/5/2022,$7.00,-$1.32,-$3.49,,CSI NY Season 1,,$2.19,,
10/7/2022,$8.50,-$1.54,-$3.49,,Austenland,$0.39,$3.86,,
10/7/2022,$14.00,-$2.34,-$3.49,,Allegro Non Troppo,$0.39,$8.56,,
10/8/2022,$7.00,-$1.32,-$3.49,,Outlaw Justice,$0.81,$3.00,,
10/10/2022,$20.00,-$3.22,-$3.49,,Earth Final Conflict Season 3,-$0.25,$13.04,,
10/10/2022,$9.99,-$1.76,-$3.49,,Pink Floyd The Wall,$0.59,$5.33,,
10/10/2022,$9.00,-$1.61,-$3.49,,The Adventures of Indiana Jones Collection,$0.35,$4.25,,doNotMatch
10/10/2022,$5.50,-$1.10,-$3.49,,The Lunchbox BLU-RAY,$0.39,$1.30,,
10/12/2022,$6.00,-$1.18,-$3.49,,Rush - Exit...Stage Left CD,$0.89,$2.22,,
10/12/2022,$13.00,-$2.20,-$3.49,,Taxi Season 4,-$2.00,$5.31,,
10/12/2022,$15.00,-$2.49,-$3.49,,Lost Season 6,,$9.02,,
10/13/2022,$9.00,-$1.61,-$3.49,,Law and Order Season 1,,$3.90,,
10/14/2022,$9.75,-$1.72,-$3.49,,JAG Season 9,,$4.54,,
10/16/2022,$7.00,-$1.32,-$3.49,,Thunderheart,,$2.19,,
10/16/2022,$18.00,-$2.93,-$3.49,,Leverage Season 5,,,,
10/17/2022,$12.50,-$2.13,-$3.49,,Supernatural Season 2,,$6.89,,
10/17/2022,$6.50,-$1.25,-$3.49,,Windwalker,$0.50,$2.26,,
10/18/2022,$16.00,-$2.64,-$3.49,,Saving Grace Season 1,$0.25,$10.12,,
10/20/2022,$15.00,-$2.49,-$3.49,,About Elly,,$9.02,,
10/20/2022,$6.00,-$1.18,-$3.49,,Ben is Back,,$1.33,,
10/20/2022,$19.00,-$3.07,-$4.19,,The Avengers: Complete Emma Peel Megaset,-$0.25,$11.49,,doNotMatch
10/21/2022,$16.00,-$2.64,-$3.49,,The Pride and the Passion BLU-RAY,$0.56,$10.43,,
10/22/2022,$22.00,-$3.51,-$3.49,,Cute Little Buggers,,$15.00,,
10/22/2022,$10.00,-$1.76,-$3.49,,JAG Season 6,-$0.25,$4.50,,
10/24/2022,$10.00,-$1.76,-$3.49,,The Steps,,$4.75,,
10/25/2022,$13.00,-$2.20,-$3.49,,The Big Valley,-$0.25,$7.06,,
10/25/2022,,$0.00,,$10.14,Purchased Lens Wipes,,$10.14,,
10/26/2022,$12.00,-$2.05,-$3.49,,The Simple Life Season 4,-$1.00,$5.46,,
10/27/2022,$15.00,-$2.49,-$3.49,,Rose Red,,$9.02,,
10/28/2022,$6.00,-$1.18,-$3.49,,9,,$1.33,,
10/29/2022,$6.00,-$1.18,-$3.49,,Gilmore Girls Season 6,-$0.25,$1.08,,
