,,,,,,,,,
$285.87,Payment Received,PayPal Fee,Postage,Other Costs,,,,DVD Cost:,1
1/12/2015,$5.44,-$0.46,-$2.09,,Spies Like Us/Nothing But Trouble,,$1.89,,
1/12/2015,$5.89,-$0.47,-$2.09,,The Mummy Collector's Set,,$2.33,,
1/13/2015,$3.14,-$0.39,-$2.01,,Meet John Doe,,-$0.26,,
1/13/2015,$3.94,-$0.41,-$2.01,,Murder 101,,$0.52,,
1/13/2015,$3.34,-$0.40,-$2.25,,The Sum of All Fears,,-$0.31,,
1/14/2015,$7.94,-$0.53,-$2.09,,Attack of the Puppet People,,$4.32,,
1/14/2015,$3.94,-$0.41,-$2.09,,Children of a Lesser God,,$0.44,,
1/14/2015,$8.44,-$0.54,-$2.09,,Return of the Living Dead 2,,$4.81,,
1/14/2015,$4.34,-$0.43,-$2.09,,The Great Escape,,$0.82,,
1/14/2015,$3.84,-$0.41,-$2.09,,The Skeleton Key,,$0.34,,
1/15/2015,$3.94,-$0.41,-$2.01,,The Shawshank Redemption,,$0.52,,
1/15/2015,$3.84,-$0.41,-$2.09,,Trading Places,,$0.34,,
1/16/2015,$2.94,-$0.39,-$2.09,,Intolerable Cruelty,,-$0.54,,
1/16/2015,$3.94,-$0.41,-$2.09,,Love and Basketball,,$0.44,,
1/16/2015,$3.44,-$0.40,-$2.25,,The Saint,,-$0.21,,
1/17/2015,$3.24,-$0.39,-$2.09,,Beowulf,,-$0.24,,
1/17/2015,$4.44,-$0.43,-$2.09,,Mars Needs Women,,$0.92,,
1/17/2015,$2.74,-$0.38,-$2.09,,Miracle,,-$0.73,,
1/17/2015,,,,-$30.00,Purchased DVDs,,-$31.00,,
1/17/2015,$4.94,-$0.44,-$2.09,,Thelma & Louise / Fargo,,$1.41,,
1/18/2015,$3.24,-$0.39,-$2.09,,Bride Wars,,-$0.24,,
1/18/2015,$8.24,-$0.54,-$2.01,,Captain America: The First Avenger,,$4.69,,
1/18/2015,$3.54,-$0.40,-$2.25,,Ghostbusters 2,,-$0.11,,
1/18/2015,$3.94,-$0.41,-$2.09,,Stealing Home,,$0.44,,
1/18/2015,$2.89,-$0.38,-$2.09,,Stuck on You,,-$0.58,,
1/18/2015,$3.94,-$0.41,-$2.01,,The Taking of Pelham One Two Three,,$0.52,,
1/18/2015,$6.84,-$0.50,-$2.09,,The Tin Star,,$3.25,,
1/18/2015,$3.74,-$0.41,-$2.09,,What Lies Beneath,,$0.24,,
1/20/2015,$8.59,-$0.55,-$2.09,,Cat Ballou,,$4.95,,
1/20/2015,,,,-$81.86,eBay Fees,,-$82.86,,
1/20/2015,$3.94,-$0.41,-$2.09,,"It's a Mad, Mad, Mad, Mad World",,$0.44,,
1/20/2015,$3.94,-$0.41,-$2.09,,Private Benjamin,,$0.44,,
1/20/2015,$3.84,-$0.41,-$2.09,,Striking Distance,,$0.34,,
1/20/2015,$2.94,-$0.39,-$2.09,,The Italian Job,,-$0.54,,
1/21/2015,$4.94,-$0.44,-$2.09,,The Faculty,,$1.41,,
1/21/2015,$3.84,-$0.41,-$2.42,,The Fifth Element,,$0.01,,
1/21/2015,$2.74,-$0.38,-$2.09,,The Manchurian Candidate,,-$0.73,,
1/21/2015,$3.24,-$0.39,-$2.09,,The Outlaw,,-$0.24,,
1/21/2015,$5.24,-$0.45,-$2.01,,The Seventh Sign,,$1.78,,
1/22/2015,$3.84,-$0.41,-$2.09,,Blazing Saddles,,$0.34,,
1/22/2015,$3.94,-$0.41,-$2.09,,Schoolhouse Rock!,,$0.44,,
1/22/2015,$3.14,-$0.39,-$2.09,,Underworld: Eveolution,,-$0.34,,
1/23/2015,$2.94,-$0.39,-$2.09,,All About Steve,,-$0.54,,
1/23/2015,$2.89,-$0.38,-$2.09,,American Wedding,,-$0.58,,
1/23/2015,$7.05,-$0.50,-$2.93,,Fear and Loathing in Las Vegas,,$2.62,,
1/23/2015,$3.14,-$0.39,-$2.09,,Inventing the Abbots,,-$0.34,,
1/23/2015,$3.04,-$0.39,-$2.09,,March of the Penguins,,-$0.44,,
1/23/2015,$3.14,-$0.39,-$2.09,,Meet the Parents,,-$0.34,,
1/23/2015,$3.24,-$0.39,-$2.25,,Primal Fear,,-$0.40,,
1/23/2015,$2.94,-$0.39,-$2.01,,Rendition,,-$0.46,,
1/23/2015,$3.24,-$0.39,-$2.09,,Someone Like You,,-$0.24,,
1/23/2015,$2.94,-$0.39,-$2.09,,Tears of the Sun,,-$0.54,,
1/23/2015,$3.34,-$0.40,-$2.01,,The First Wives Club,,-$0.07,,
1/24/2015,$2.84,-$0.38,-$2.09,,Ocean's Thirteen,,-$0.63,,
1/24/2015,$2.94,-$0.39,-$2.09,,Out of Time,,-$0.54,,
1/24/2015,$3.24,-$0.39,-$2.09,,Revolver,,-$0.24,,
1/24/2015,$3.24,-$0.39,-$2.42,,Snatch,,-$0.57,,
1/24/2015,$3.14,-$0.39,-$2.09,,The Island,,-$0.34,,
1/24/2015,$3.24,-$0.39,-$2.09,,When a Stranger Calls,,-$0.24,,
1/25/2015,$5.44,-$0.46,-$2.09,,Eye for an Eye,,$1.89,,
1/25/2015,$3.24,-$0.39,-$2.09,,Layer Cake,,-$0.24,,
1/25/2015,$3.94,-$0.41,-$2.09,,Singles,,$0.44,,
1/25/2015,$3.24,-$0.39,-$2.09,,The Darjeelinig Limited,,-$0.24,,
1/25/2015,$4.25,-$0.42,-$2.09,,The Notorious Bettie Page,,$0.74,,
1/25/2015,$2.94,-$0.39,-$2.09,,The Stepford Wives,,-$0.54,,
1/25/2015,$2.94,-$0.39,-$2.09,,Three Kings,,-$0.54,,
1/26/2015,$2.94,-$0.39,-$2.09,,American Beauty,,-$0.54,,
1/26/2015,$3.14,-$0.39,-$2.09,,Bandits,,-$0.34,,
1/26/2015,$3.24,-$0.39,-$2.09,,Catch Me If You Can,,-$0.24,,
1/26/2015,$3.64,-$0.41,-$2.09,,No Country for Old Men,,$0.14,,
1/26/2015,$3.24,-$0.39,-$2.09,,Training Day,,-$0.24,,
1/26/2015,$2.94,-$0.39,-$2.09,,While You Were Sleeping,,-$0.54,,
1/26/2015,$3.24,-$0.39,-$2.09,,,,-$0.24,,
1/27/2015,$3.24,-$0.39,-$2.09,,13 Going on 30,,-$0.24,,
1/27/2015,$4.94,-$0.44,-$2.09,,Apocalypto,,$1.41,,
1/27/2015,$7.74,-$0.52,-$2.09,,Dagon,,$4.13,,
1/27/2015,$3.24,-$0.39,-$2.09,,Full Metal Jacket,,-$0.24,,
1/27/2015,$3.94,-$0.41,-$2.09,,La Vie en Rose,,$0.44,,
1/27/2015,$3.44,-$0.40,-$2.09,,My Man Godfrey,,-$0.05,,
1/27/2015,$21.94,-$0.94,-$2.42,,Mystery Science Theater 3000: The Essentials ,,$17.58,,
1/27/2015,,,,-$40.00,Purchased DVDs,,-$41.00,,
1/27/2015,$2.44,-$0.37,-$2.09,,The Bachelor,,-$1.02,,
1/28/2015,$3.54,-$0.40,-$2.09,,Bringing Out the Dead,,$0.05,,
1/28/2015,$3.24,-$0.39,-$2.09,,Hot Fuzz,,-$0.24,,
1/28/2015,$2.94,-$0.39,-$2.09,,Kill Bill Volume 2,,-$0.54,,
1/28/2015,$3.94,-$0.41,-$2.09,,Primal Fear,,$0.44,,
1/28/2015,$37.99,-$1.40,-$7.68,,Sold Columbia Fleece Jacket,,$27.91,,
1/29/2015,$2.94,-$0.39,-$2.09,,Basic,,-$0.54,,
1/29/2015,$3.24,-$0.39,-$2.09,,Hostel: Part II,,-$0.24,,
1/31/2015,$3.24,-$0.39,-$2.01,,Bella,,-$0.16,,
1/31/2015,$3.94,-$0.41,-$2.01,,Edward Scissorhands,,$0.52,,
1/31/2015,$3.24,-$0.39,-$2.09,,Indecent Proposal,,-$0.24,,
1/31/2015,,$0.00,,-$9.99,Purchased Envelopes,,-$10.99,,
1/31/2015,,$0.00,,-$4.94,Refund for Apocalypto - dvd never arrived,,-$5.94,,
1/31/2015,$3.24,-$0.39,-$2.25,,Scary Movie,,-$0.40,,
1/31/2015,$3.84,-$0.41,-$2.09,,Vegas Vacation,,$0.34,,
2/1/2015,$3.74,-$0.41,-$2.09,,Bonfire of the Vanities,,$0.24,,
2/1/2015,$3.24,-$0.39,-$2.09,,Dave,,-$0.24,,
2/1/2015,$3.94,-$0.41,-$2.01,,Enemy at the Gates,,$0.52,,
2/1/2015,$3.24,-$0.39,-$2.09,,Fight Club,,-$0.24,,
2/1/2015,$3.24,-$0.39,-$2.25,,Killing Zoe,,-$0.40,,
2/1/2015,$3.84,-$0.41,-$2.09,,The Chronicles of Narnia: Prince Caspian,,$0.34,,
2/1/2015,$19.50,-$0.87,-$3.17,,The Dark Knight Trilogy,,$14.46,,
2/1/2015,$9.94,-$0.59,-$2.76,-$10.87,The Drew Carey Show Season 1,,-$5.28,,
2/2/2015,$3.04,-$0.39,-$2.09,,Sky Captain and the World of Tomorrow,,-$0.44,,
2/2/2015,$3.14,-$0.39,-$2.09,,Thank You for Smoking,,-$0.34,,
2/2/2015,$3.94,-$0.41,-$2.09,,The Ladykillers,,$0.44,,
2/2/2015,$3.04,-$0.39,-$2.09,,The Marine,,-$0.44,,
2/2/2015,$3.24,-$0.39,-$2.09,,The Other Guys,,-$0.24,,
2/3/2015,$2.94,-$0.39,-$2.09,,Anger Management,,-$0.54,,
2/3/2015,$3.54,-$0.40,-$2.09,,Chicago,,$0.05,,
2/3/2015,$3.24,-$0.39,-$2.01,,Heat,,-$0.16,,
2/3/2015,$2.94,-$0.39,-$2.09,,High Crimes,,-$0.54,,
2/4/2015,$3.24,-$0.39,-$2.09,,American Beauty,,-$0.24,,
2/4/2015,$3.94,-$0.41,-$2.09,,Harry Potter and the Half-Blood Prince,,$0.44,,
2/4/2015,$4.04,-$0.42,-$2.09,,Road House,,$0.53,,
2/4/2015,$5.94,-$0.47,-$2.09,,The Chronicles of Narnia: Voyage of the Dawn Treader,,$2.38,,
2/4/2015,$3.24,-$0.39,-$2.09,,U-571,,-$0.24,,
2/4/2015,$3.64,-$0.41,-$2.09,,UFC: Ultimate Knockouts 3,,$0.14,,
2/5/2015,$2.94,-$0.39,-$2.01,,Batman Begins,,-$0.46,,
2/5/2015,$3.34,-$0.40,-$2.09,,Driven,,-$0.15,,
2/5/2015,$3.94,-$0.41,-$2.42,,Harry Potter and the Deathly Hallows,,$0.11,,
2/5/2015,$3.44,-$0.40,-$2.09,,Harry Potter and the Sorcerer's Stone,,-$0.05,,
2/5/2015,$3.14,-$0.39,-$2.09,,Once Upon a Time in Mexico,,-$0.34,,
2/5/2015,$2.94,-$0.39,-$2.09,-$14.60,Purchased Bubble Wrap,,-$15.14,,
2/5/2015,$3.84,-$0.41,-$2.25,,Rent,,$0.18,,
2/5/2015,$3.74,-$0.41,-$2.01,,Tin Cup,,$0.32,,
2/5/2015,$7.44,-$0.52,-$2.93,,WWF - The Greatest Wrestling Stars of the '80s,,$2.99,,
2/6/2015,$6.34,-$0.48,-$2.42,,Cape Fear,,$2.44,,
2/6/2015,$3.74,-$0.41,-$2.09,,Coma,,$0.24,,
2/6/2015,$3.24,-$0.39,-$2.09,,Devil's Advocate / Insomnia,,-$0.24,,
2/6/2015,$3.24,-$0.39,-$2.25,,Forgetting Sara Marshall,,-$0.40,,
2/6/2015,$13.64,-$0.70,-$0.23,,How to Succeed in Business Without Really Trying,,$11.72,,
2/6/2015,$2.94,-$0.39,-$2.09,,Intolerable Cruelty,,-$0.54,,
2/6/2015,$3.14,-$0.39,-$2.09,,L.A. Story,,-$0.34,,
2/6/2015,$2.74,-$0.38,-$2.09,,Ocean's Eleven,,-$0.73,,
2/6/2015,$2.94,-$0.39,-$2.09,,Old School,,-$0.54,,
2/6/2015,,$0.00,,-$19.40,Purchased Packing Tape,,-$20.40,,
2/6/2015,$3.94,-$0.41,-$2.09,,"The Chronicles of Narnia: The Lion, The Witch, and the Wardrobe",,$0.44,,
2/6/2015,$3.94,-$0.41,-$2.09,,The January Man,,$0.44,,
2/6/2015,$3.94,-$0.41,-$2.09,,The Skeleton Key,,$0.44,,
2/7/2015,$3.14,-$0.39,-$2.09,,Eye of the Beholder,,-$0.34,,
2/7/2015,$2.94,-$0.39,-$2.09,,Harry Potter and the Chamber of Secrets,,-$0.54,,
2/7/2015,$3.14,-$0.39,-$2.09,,Hollow Man,,-$0.34,,
2/7/2015,$4.14,-$0.42,-$2.09,,Murder in the First,,$0.63,,
2/8/2015,$3.74,-$0.41,-$2.09,,BASEketball,,$0.24,,
2/8/2015,$3.24,-$0.39,-$2.09,,Disturbia,,-$0.24,,
2/8/2015,$3.94,-$0.41,-$2.09,,Half Baked,,$0.44,,
2/8/2015,$3.34,-$0.40,-$2.09,,Rush Hour,,-$0.15,,
2/8/2015,$3.94,-$0.41,-$2.09,,Step Brothers,,$0.44,,
2/8/2015,$3.94,-$0.41,-$2.09,,The Expendables,,$0.44,,
2/8/2015,$4.94,-$0.44,-$2.09,,The Machinist,,$1.41,,
2/8/2015,$4.84,-$0.44,-$2.09,,Waiting,,$1.31,,
2/9/2015,$3.24,-$0.39,-$2.09,,Al Capone: The Rise and Fall,,-$0.24,,
2/9/2015,$2.94,-$0.39,-$2.09,,Borat,,-$0.54,,
2/9/2015,$3.24,-$0.39,-$2.09,,Clue,,-$0.24,,
2/9/2015,$3.44,-$0.40,-$2.09,,Harry Potter and the Goblet of Fire,,-$0.05,,
2/9/2015,$3.44,-$0.40,-$2.09,,The Hurricane,,-$0.05,,
2/9/2015,$3.24,-$0.39,-$2.09,,The Time of Your Life,,-$0.24,,
2/9/2015,$3.24,-$0.39,-$2.09,,Tower Heist,,-$0.24,,
2/10/2015,$6.94,-$0.50,-$2.09,,Broadcast News,,$3.35,,
