 ,,,,,,,,,
"$1,418.91",Payment Received,PayPal Fee,Postage,Other Costs,,Category,,DVD Cost:,1
2/4/2017,,,,-$35.00,Purchased DVDs,,-$36.00,,
2/5/2017,$13.25,-$0.68,-$2.63,,Desperate Housewives Season 3,,$8.94,,
2/5/2017,$5.75,-$0.47,-$2.77,,Universal Soldier / Lock Up,,$1.51,,
2/5/2017,$8.75,-$0.55,-$2.63,,Blue Submarine No. 6,,$4.57,,
2/5/2017,$5.75,-$0.47,-$2.77,,The Big Squeeze,,$1.51,,
2/6/2017,$11.00,-$0.62,-$2.77,-$10.50,"The Closer, Season 6",,-$3.89,,
2/6/2017,$5.00,-$0.45,-$2.77,,Stargate SG-1 Volume 2,,$0.79,,
2/6/2017,$45.00,-$1.61,-$2.77,,Maya Deren: Experimental Films,,$39.63,,
2/6/2017,$6.75,-$0.50,-$2.77,,Internet Dating,,$2.48,,
2/7/2017,$7.50,-$0.52,-$2.77,,Ratatouille,,$3.21,,
2/8/2017,$8.75,-$0.55,-$2.77,,Imitation of Life,,$4.43,,
2/9/2017,$4.75,-$0.44,-$2.77,,Something Borrowed,,$0.54,,
2/9/2017,$6.00,-$0.47,-$2.77,,Last Orders,,$1.76,,
2/10/2017,$12.00,-$0.65,-$2.77,,A Killing Spring,,$7.58,,
2/11/2017,,,,-$20.00,Purchased DVDs,,-$21.00,,
2/11/2017,$5.00,-$0.45,-$2.77,,Midnight Bayou,,$0.79,,
2/11/2017,$6.25,-$0.48,-$2.77,,Crime Story,,$2.00,,
2/13/2017,$11.00,-$0.62,-$2.77,,Out to Sea,,$6.61,,
2/13/2017,$11.00,-$0.62,-$2.77,,"Larry Crowne
Hackers",,$6.61,,
2/16/2017,$17.00,-$0.79,-$2.77,,Mrs Winterbourne,,$12.44,,
2/16/2017,$5.75,-$0.47,-$2.77,,Breaking Bad Season 1,,$1.51,,
2/17/2017,$13.00,-$0.68,-$2.77,,Suspect,,$8.55,,
2/18/2017,$5.75,-$0.47,-$2.77,,Freedom Writers,,$1.52,,
2/18/2017,$12.00,-$0.65,-$2.77,,Home Improvement Season 1,-$4.00,$3.58,,
2/18/2017,,$0.00,,-$47.00,Purchased DVDs,,-$48.00,,
2/19/2017,,$0.00,,-$54.80,eBay Fees,,-$55.80,,
2/19/2017,6.75,-$0.50,-$2.77,,Green Lantern: Emerald Knights,,$2.48,,
2/19/2017,$5.00,-$0.45,-$2.77,,Deep Blue Sea,,$0.79,,
2/19/2017,$4.75,-$0.44,-$2.77,,Into the Wild,,$0.54,,
2/19/2017,$10.00,-$0.59,-$2.77,,Disney's Quack Pack Volume 1,,$5.64,,
2/20/2017,$7.50,-$0.52,-$2.77,,The Viral Factor,,$3.21,,
2/21/2017,$5.00,-$0.45,-$2.61,,True Blood Season 3 Replacement Disc 2,,$0.95,,
2/21/2017,$11.00,-$0.62,-$2.77,,Home Improvement Season 2,-$4.00,$2.61,,
2/22/2017,$10.50,-$0.60,-$2.63,,The Sopranos Season 4,-$2.00,$4.27,,
2/23/2017,$5.25,-$0.45,-$2.77,,The Desperate Hours,,$1.03,,
2/23/2017,$7.50,-$0.52,-$2.77,,Downloading Nancy,,$3.21,,
2/24/2017,$7.75,-$0.52,-$2.77,,CKY4 Latest Greatest,,$3.46,,
2/25/2017,$5.25,-$0.45,-$2.77,,Purple Rain,-$1.00,$0.03,,
2/25/2017,$6.50,-$0.49,-$2.77,,The Pest,,$2.24,,
2/25/2017,,,,-$60.00,Purchased DVDs,,-$61.00,,
2/27/2017,$12.00,-$0.65,-$2.77,-$11.75,The Closer Season 7,,-$4.17,,
2/27/2017,$7.00,-$0.50,-$2.77,,Waking Ned Devine,,$2.73,,
2/27/2017,$8.50,-$0.55,-$2.63,,Ice Age Two-Pack,,$4.32,,
2/28/2017,$14.00,-$0.71,-$2.77,,Nightbreed,,$9.52,,
3/1/2017,$7.00,-$0.50,-$2.77,,3: The Dale Earnhardt Story,,$2.73,,
3/1/2017,$6.75,-$0.50,-$2.77,,The Adventures of Pluto Nash,,$2.48,,
3/2/2017,$5.25,-$0.45,-$2.77,,Kids,$0.50,$1.53,,
3/3/2017,$16.00,-$0.76,-$2.77,,Murda Muzik,,$11.47,,
3/3/2017,$10.00,-$0.59,-$2.77,,The Courageous Heart of Irena Sendler,,$5.64,,
3/3/2017,$5.25,-$0.45,-$2.77,,Teenage Mutant Ninja Turtles 2,,$1.03,,
3/3/2017,$8.75,-$0.55,-$2.77,,Burglar,,$4.43,,
3/4/2017,,,,-$40.00,Purchased DVDs,,-$41.00,,
3/6/2017,$6.75,-$0.50,-$2.77,,The Hunchback of Notre Dame,,$2.48,,
3/6/2017,$6.25,-$0.48,-$2.63,,Revelations,,$2.14,,
3/6/2017,$4.75,-$0.44,-$2.77,,Forget Paris,,$0.54,,
3/6/2017,$5.50,-$0.46,-$2.77,,Paranoid,,$1.27,,
3/6/2017,$7.00,-$0.50,-$2.77,,Revenge,,$2.73,,
3/6/2017,$6.75,-$0.50,-$2.77,,"History of the World, Part 1",,$2.48,,
3/7/2017,$6.00,-$0.47,-$2.77,,All of Me,,$1.76,,
3/9/2017,$6.25,-$0.48,-$2.77,,Rio Diablo,,$2.00,,
3/9/2017,$4.75,-$0.44,-$2.77,,Empire Falls,,$0.54,,
3/10/2017,$9.50,-$0.58,-$2.77,,Night Court Season 3,,$5.15,,
3/10/2017,$4.75,-$0.44,-$2.77,,Valiant,,$0.54,,
3/10/2017,$5.75,-$0.47,-$2.77,,Gigi,,$1.51,,
3/11/2017,,,,-$50.00,Purchased DVDs,,-$51.00,,
3/13/2017,$4.75,-$0.44,-$2.77,,How to Marry a Millionaire,,$0.54,,
3/13/2017,$5.25,-$0.45,-$2.77,,Urban Justice,,$1.03,,
3/13/2017,$14.75,-$0.73,-$2.77,,Crimes of the Heart,,$10.25,,
3/13/2017,$4.75,-$0.44,-$2.77,,The Strangers,,$0.54,,
3/14/2017,$5.25,-$0.45,-$2.77,,Retroactive,,$1.03,,
3/14/2017,$5.50,-$0.46,-$2.77,,Heathers,,$1.27,,
3/14/2017,$6.00,-$0.47,-$2.77,,Absolutely Fabulous 2nd Series,,$1.76,,
3/14/2017,$4.75,-$0.44,-$2.77,,The Reaping,,$0.54,,
3/15/2017,$10.50,-$0.60,-$2.77,,Seinfeld Season 9,-$2.00,$4.13,,
3/15/2017,$4.75,-$0.44,-$2.77,,Roger Dodger,,$0.54,,
3/16/2017,$5.25,-$0.45,-$2.77,,Coldplay Live 2003,,$1.03,,
3/16/2017,$5.75,-$0.47,-$2.77,,Warm Bodies,,$1.51,,
3/16/2017,$5.00,-$0.45,-$2.77,,Wind Chill,,$0.79,,
3/17/2017,$12.00,-$0.65,-$2.63,,NCIS Season 7,-$2.00,$5.72,,
3/17/2017,$5.75,-$0.47,-$2.77,,Ruthless People,$0.50,$2.01,,
3/17/2017,$5.25,-$0.45,-$2.77,,Glengarry Glen Ross,$0.50,$1.53,,
3/17/2017,$4.75,-$0.44,-$2.77,,Now and Forever,,$0.54,,
3/18/2017,$6.00,-$0.47,-$2.77,,Ghostbusters: Answer the Call,$1.00,$2.76,,
3/18/2017,$5.50,-$0.46,-$2.77,,Midnight in Paris,,$1.27,,
3/18/2017,$12.00,-$0.65,-$2.63,,Arrested Development Seasons 1-3,,$7.72,,
3/18/2017,$10.00,-$0.59,-$2.77,,Goin' South,$0.50,$6.14,,
3/18/2017,$6.50,-$0.49,-$2.77,,Leap Year,$0.50,$2.74,,
3/18/2017,$4.75,-$0.44,-$2.77,,Elizabeth: The Golden Age,,$0.54,,
3/18/2017,,,,-$50.00,Purchased DVDs,,-$51.00,,
3/18/2017,,,,-$53.10,eBay Fees,,-$54.10,,
3/21/2017,$15.00,-$0.74,-$2.63,,Legend of the Seeker Season 1,-$2.00,$8.64,,
3/21/2017,$5.00,-$0.45,-$2.61,,True Blood Season 3 Disc 3,,$0.95,,
3/21/2017,$5.75,-$0.47,-$2.77,,Confess,,$1.51,,
3/22/2017,$5.50,-$0.46,-$2.77,,Stargate SG-1 Volume 1,,$1.27,,
3/22/2017,$5.50,-$0.46,-$2.77,,The Last Unicorn,$0.50,$1.77,,
3/23/2017,$5.00,-$0.45,-$2.77,,Turbulence,,$0.79,,
3/23/2017,$4.50,-$0.43,-$2.61,,Nip Tuck Season 2 Replacement Disc 3,,$0.46,,
3/25/2017,,,,-$18.00,Purchased DVDs,,-$19.00,,
3/25/2017,$4.75,-$0.44,-$2.77,,Practical Magic,,$0.54,,
3/25/2017,$11.00,-$0.62,-$2.77,,Crash,$0.50,$7.11,,
3/25/2017,$5.75,-$0.47,-$2.77,,Highlander 2: The Quickening,,$1.51,,
3/26/2017,$4.25,-$0.42,-$2.77,,American History X,$0.50,$0.56,,
3/26/2017,$5.00,-$0.45,-$2.77,,Body Double,$0.50,$1.29,,
3/26/2017,$6.75,-$0.50,-$2.63,,The Dead Zone Season 5,-$2.00,$0.62,,
3/28/2017,$6.75,-$0.50,-$2.77,,Her Alibi,,$2.48,,
3/28/2017,$4.75,-$0.44,-$2.77,,Daddy's Little Girls,,$0.54,,
3/29/2017,$5.50,-$0.46,-$2.77,,Gattaca,$0.50,$1.77,,
3/29/2017,$5.00,-$0.45,-$2.61,,True Blood Season 3 Disk 4,,$0.95,,
4/1/2017,$10.75,-$0.61,-$2.77,,"Oh God, You Devil",,$6.37,,
4/1/2017,$13.50,-$0.69,-$2.61,$1.00,Kingston 32GB DataTraveler,,$10.20,,
4/1/2017,$13.00,-$0.68,-$2.77,-$12.00,Vixens from Venus,,-$3.45,,
4/1/2017,-$5.25,-$0.15,-$2.77,,Refund for Glengarry GlenRoss,,-$9.17,,
4/1/2017,,$0.00,,-$20.00,Purchased DVDs,,-$21.00,,
4/2/2017,$6.25,-$0.48,-$2.77,,The Incredibles,,$2.00,,
4/2/2017,$4.25,-$0.42,-$2.77,,The Last Boy Scout,$0.50,$0.56,,
4/2/2017,$11.00,-$0.62,-$2.77,,The House of the Devil,-$1.00,$5.61,,
4/2/2017,$4.75,-$0.44,-$2.77,,Once Upon a Texas Train,,$0.54,,
4/3/2017,$10.00,-$0.59,-$2.77,,Command in Chiekf Innaugural Season Parts 1 & 2,,$5.64,,
4/3/2017,$5.00,-$0.45,-$2.77,,Blood Soaked,,$0.79,,
4/4/2017,$7.00,-$0.50,-$2.77,,Sid and Nancy,$0.50,$3.23,,
4/4/2017,$5.25,-$0.45,-$2.77,,The Dead Zone,$0.50,$1.53,,
4/4/2017,$4.75,-$0.44,-$2.77,,Crank 2: High Voltage,$0.50,$1.04,,
4/5/2017,$7.75,-$0.52,-$2.77,,Miss Firecracker,,$3.46,,
4/5/2017,$5.25,-$0.45,-$2.77,,Life is Beautiful,,$1.03,,
4/5/2017,$4.50,-$0.43,-$2.61,,Nip Tuck Season 2 Replacement Disc 1,,$0.46,,
4/5/2017,$9.00,-$0.56,-$3.21,,Freaks and Geeks Complete Series,,$4.23,,
4/6/2017,$5.25,-$0.45,-$2.77,,Immortal,,$1.03,,
4/6/2017,$5.25,-$0.45,-$2.77,,XII: The Conspiracy,,$1.03,,
4/6/2017,$5.50,-$0.46,-$2.77,,Thirteen,,$1.27,,
4/7/2017,$4.75,-$0.44,-$2.77,,Dangerous Beauty,,$0.54,,
4/7/2017,$6.75,-$0.50,-$2.77,,Boogie Nights,$0.50,$2.98,,
4/7/2017,$12.00,-$0.65,-$2.77,,Samurai Jack Season 4,,$7.58,,
4/7/2017,$5.75,-$0.47,-$2.77,,Trainspotting,$0.50,$2.01,,
4/7/2017,,$0.00,,-$11.39,Purchased Tape,,-$12.39,,
4/8/2017,$7.75,-$0.52,-$2.77,,Boogie Boy,,$3.46,,
4/8/2017,$8.75,-$0.55,-$2.77,,Innocent Blood,,$4.43,,
4/8/2017,$11.00,-$0.62,-$2.77,,Cowboy Up,,$6.61,,
4/8/2017,$4.75,-$0.44,-$2.61,,The West Wing Season 4 REPLACEMENT DISC 4,,$0.70,,
4/8/2017,,$0.00,,-$35.00,Purchased DVDs,,-$36.00,,
4/9/2017,$7.00,-$0.50,-$2.77,,Tales from the Darkside,,$2.73,,
4/9/2017,$5.25,-$0.45,-$2.77,,Alien Hunter,,$1.03,,
4/9/2017,$7.50,-$0.52,-$2.77,,Barry Lyndon,-$1.00,$2.21,,
4/10/2017,,$0.00,,-$7.75,Miss Firecracker refund,,-$8.75,,
4/11/2017,$10.00,-$0.59,-$2.77,,The Hobbit / The Lord of the Rings Animated,,$5.64,,
4/12/2017,$4.75,-$0.44,-$2.77,,The Visitor,,$0.54,,
4/12/2017,$5.50,-$0.46,-$2.77,,Schoolhouse Rock Election Collection,$0.50,$1.77,,
4/12/2017,$8.50,-$0.55,-$2.61,,The Muppet Show Season 1,$0.50,$4.84,,
4/14/2017,$12.75,-$0.67,-$2.77,,Home Improvement Season 3,-$4.00,$4.31,,
4/15/2017,$13.13,-$0.68,-$2.63,,X-Files Fight for the Future / I want to Believe / Revelations,-$3.50,$5.32,,
4/17/2017,$5.75,-$0.47,-$2.77,,The Outsiders,$0.50,$2.01,,
4/17/2017,$9.00,-$0.56,-$2.63,,Underdog Collection,$0.50,$5.31,,
4/18/2017,$7.00,-$0.50,-$2.63,,The Nanny Season 1,-$2.00,$0.87,,
4/18/2017,$10.00,-$0.59,-$2.63,,Charmed Season 8,,$5.78,,
4/19/2017,$7.50,-$0.52,-$2.77,,Eastern Promised Blu-Ray,,$3.21,,
4/19/2017,$5.25,-$0.45,-$2.77,,Todd McFarlane's Spawn 2,,$1.03,,
4/20/2017,$4.75,-$0.44,-$2.77,,The Juror,$0.50,$1.04,,
4/20/2017,$5.75,-$0.47,-$2.63,,Unbreakable,$0.50,$2.15,,
4/20/2017,$4.75,-$0.44,-$2.77,,Rob Roy,$0.50,$1.04,,
4/20/2017,,$0.00,,-$60.08,eBay Fees,,-$61.08,,
4/21/2017,,$0.00,,-$23.00,Purchased DVDs,,-$24.00,,
4/21/2017,$12.75,-$0.67,-$3.21,,Babylon 5 Season 1,$0.00,$7.87,,
4/21/2017,$4.75,-$0.44,,,Pan's Labyrinth,$0.50,$3.81,,
4/22/2017,$4.75,-$0.44,-$2.77,,Waist Deep,,$0.54,,
4/22/2017,$5.75,-$0.47,-$2.77,,Batteries Not Included,,$1.51,,
4/22/2017,$4.75,-$0.44,-$2.77,,Angel Heart,,$0.54,,
4/22/2017,$5.75,-$0.47,-$2.77,,Interview with the Vampire,,$1.51,,
4/22/2017,$4.75,-$0.44,-$2.77,,The Libertine,,$0.54,,
4/23/2017,$5.75,-$0.47,-$2.77,,X-Men: First Class,$0.50,$2.01,,
4/23/2017,$7.50,-$0.52,-$2.77,,My Morning Jacket,,$3.21,,
4/24/2017,$4.75,-$0.44,-$2.77,,Wayne's World,$0.50,$1.04,,
4/24/2017,$5.25,-$0.45,-$2.77,,Drag Me to Hell,$0.50,$1.53,,
4/25/2017,$4.75,-$0.44,-$2.77,,Forrest Gump,$0.50,$1.04,,
4/25/2017,$5.25,-$0.45,-$2.77,,Rio Bravo,,$1.03,,
4/26/2017,$16.50,-$0.78,-$2.77,,Safurai Jack Season 1,$0.00,$11.95,,
4/27/2017,$5.75,-$0.47,-$2.77,,The Aristocrats,,$1.51,,
4/27/2017,$5.00,-$0.45,-$2.61,,The Hunger Games,,$0.95,,
4/27/2017,$17.00,-$0.79,-$2.77,,Rock and Rule,$0.50,$12.94,,
4/27/2017,$16.00,-$0.76,-$2.77,,Shame,$0.50,$11.97,,
4/28/2017,$16.00,-$0.76,-$3.61,,Hannibal Lector Collection,-$1.00,$9.63,,
4/29/2017,$4.75,-$0.44,-$2.77,,High Tension,,$0.54,,
5/1/2017,$4.75,-$0.44,-$2.77,,Robin Hood: Prince of Theives,$0.50,$1.04,,
5/1/2017,$4.75,-$0.44,-$2.77,,Iron Man,$0.50,$1.04,,
5/1/2017,$5.75,-$0.47,-$2.77,,The Fisher King,$0.50,$2.01,,
5/1/2017,$11.00,-$0.62,-$2.63,,Arthur / Arthur 2,$1.50,$8.25,,
5/2/2017,$6.25,-$0.48,-$2.77,,Ju-On: The Grudge,,$2.00,,
5/3/2017,,,,-$80.00,Purchased DVDs,,,,
5/4/2017,$4.75,-$0.44,-$2.77,,The Cell,$0.50,$1.04,,
5/4/2017,$5.50,-$0.46,-$2.77,,The Door in the Floor,,$1.27,,
