 ,,,,,,,,,
"$1,418.91",Payment Received,PayPal Fee,Postage,Other Costs,,Category,,DVD Cost:,1
6/2/2017,$16.00,-$0.76,-$2.77,,The Pregnancy Pact,,$11.47,,
6/2/2017,$6.00,-$0.47,-$2.77,,Dante's Peak,,$1.76,,
6/3/2017,$5.75,-$0.47,-$2.77,,Dexter Season 4,,$1.51,,
6/3/2017,$6.00,-$0.47,-$2.77,,The Wolf of Wall Street Blu-Ray,,$1.76,,
6/5/2017,$6.00,-$0.47,-$2.77,,Modern Family Season 1,-$2.56,-$0.80,,
6/5/2017,$13.00,-$0.68,-$2.77,,Dexter Season 6,,$8.55,,
6/5/2017,$5.25,-$0.45,-$2.77,,The Toy,,$1.03,,
6/5/2017,$6.75,-$0.50,-$2.77,,Desperate Housewives Season 1,-$2.00,$0.48,,
6/5/2017,$6.75,-$0.50,-$2.77,,Unbreakable,,$2.48,,
6/6/2017,$5.75,-$0.47,-$2.77,,Bridget Jones's Diary Blu-Ray,$0.50,$2.01,,
6/7/2017,$7.75,-$0.52,-$2.63,,The L Word Season 3,,$3.60,,
6/7/2017,$4.75,-$0.44,-$2.61,,The West Wing Season 4 REPLACEMENT DISC 1,,$0.70,,
6/9/2017,$7.25,-$0.51,-$2.77,,Absence of Malice,,$2.97,,
6/9/2017,$6.25,-$0.48,-$2.77,,The Big Chill,,$2.00,,
6/9/2017,$6.50,-$0.49,-$2.77,,Percy Jackson: Sea of Monsters Blu-Ray,,$2.24,,
6/12/2017,$4.75,-$0.44,-$2.77,,X-Men: First Class,,$0.54,,
6/13/2017,$5.75,-$0.47,-$2.77,,The Natural,,$1.51,,
6/13/2017,$5.50,-$0.46,-$2.77,,The Hobbit: An Unexpected Journey Blu-Ray,,$1.27,,
6/14/2017,$4.75,-$0.44,-$2.77,,The Sound of Music Live!,,$0.54,,
6/15/2017,$7.00,-$0.50,-$2.77,,Frozen,,$2.73,,
6/15/2017,$6.00,-$0.47,-$2.77,,Lois and Clark Season 1,,$1.76,,
6/15/2017,$5.75,-$0.47,-$2.77,,The Host,,$1.51,,
6/15/2017,$5.75,-$0.47,-$2.77,,An Officer and a Gentleman,,$1.51,,
6/20/2017,$4.75,-$0.44,-$2.77,,The New Guy,,$0.54,,
6/20/2017,$9.00,-$0.56,-$2.77,,Bananas,,$4.67,,
6/20/2017,,$0.00,,-$60.60,eBay Fees,,-$61.60,,
6/21/2017,$12.00,-$0.65,-$2.77,,Mr. Turner,,$7.58,,
6/21/2017,$5.00,-$0.45,-$2.77,,Stargate SG-1 Season 1 Disc 5 REPLACEMENT DISC,,$0.79,,
6/21/2017,$8.00,-$0.53,-$2.77,,Naked City,,$3.70,,
6/22/2017,$7.00,-$0.50,-$2.77,,Dust Up,,$2.73,,
6/22/2017,$5.25,-$0.45,-$2.77,,Hereafter,,$1.03,,
6/23/2017,$5.75,-$0.47,-$2.77,,Bindlestiffs,,$1.51,,
6/24/2017,$9.50,-$0.58,-$3.21,,Everybody Loves Raymond Season 3,,$4.71,,
6/24/2017,$6.00,-$0.47,-$2.61,,Indian Summer,,$1.92,,
6/24/2017,$7.00,-$0.50,-$2.77,,Curse of the Golden Flower,,$2.73,,
6/26/2017,$4.75,-$0.44,-$2.77,,The Damned Don't Cry,,$0.54,,
6/26/2017,$4.75,-$0.44,-$2.77,,Formula 51,,$0.54,,
6/26/2017,$7.61,-$0.52,-$2.77,,Above the Law / Hard to Kill,,$3.32,,
6/27/2017,$4.75,-$0.44,-$2.77,,Crazy on the Outside,,$0.54,,
6/27/2017,$5.50,-$0.46,-$2.77,,Ricochet,,$1.27,,
6/27/2017,$10.00,-$0.59,-$2.77,,Afternoon Delight,,$5.64,,
6/28/2017,$4.75,-$0.44,-$2.77,,The Five People You Meet in Heaven,,$0.54,,
6/28/2017,$4.75,-$0.44,-$2.61,,The West Wing Season 5 Disc 4 REPLACEMENT DISC,,$0.70,,
6/29/2017,$5.00,-$0.45,-$2.77,$0.50,Beetlejuice,,$1.29,,
6/29/2017,$6.25,-$0.48,-$2.77,,Rush,,$2.00,,
7/1/2017,$5.75,-$0.47,-$2.77,,Slap Shot,,$1.51,,
7/3/2017,$12.00,-$0.65,-$2.77,-$15.83,Major Crimes Season 3,,-$8.25,,
7/3/2017,$7.50,-$0.52,-$2.77,,The Smurfs 1 and 2,,$3.21,,
7/3/2017,$6.50,-$0.49,-$2.77,,Dogma,,$2.24,,
7/3/2017,$7.75,-$0.52,-$2.77,,The Rockford Files Season 5,-$2.00,$1.46,,
7/3/2017,$6.75,-$0.50,-$2.77,,Damages Season 3,,$2.48,,
7/5/2017,$4.75,-$0.44,-$2.77,,12 Monkeys,$0.50,$1.04,,
7/5/2017,$5.25,-$0.45,-$2.77,,Girl Most LIkely,,$1.03,,
7/6/2017,$7.75,-$0.52,-$2.77,,The Wolf of Wall Street Blu-Ray,,$3.46,,
7/14/2017,$18.00,-$0.82,-$2.77,,Good,,$13.41,,
7/14/2017,$5.75,-$0.47,-$2.77,,Bjork - All is Full of Love,,$1.51,,
7/17/2017,$6.50,-$0.49,-$2.77,$0.50,Romper Stomper,,$2.74,,
7/17/2017,$5.75,-$0.47,-$2.86, ,Chitty Chitty Bang Bang,,#VALUE!,,
7/17/2017,$25.00,-$1.03,-$2.77,-$20.20,Advanced D&D Dungeon Masters Guide 1979,,$0.01,,
7/17/2017,$13.00,-$0.68,-$2.77,,Rumba,,$8.55,,
7/17/2017,$25.00,-$1.03,-$3.86,,NCIS Seasons 1-6,,$19.12,,
7/17/2017,$7.50,-$0.52,-$2.77,$0.50,9-1/2 Weeks,,$3.71,,
7/19/2017,$7.25,-$0.51,-$2.77,,Todd McFarlane's Spawn: The Ultimate Collection,,$2.97,,
7/19/2017,$6.00,-$0.47,-$2.77,,Return to Me,,$1.76,,
7/19/2017,$5.00,-$0.45,-$2.77,,The Croods,,$0.79,,
7/20/2017,$5.75,-$0.47,-$2.77,,Country Strong,,$1.51,,
7/20/2017,$11.00,-$0.62,-$2.63,-$1.00,Secret Diary of a Call Girl Seasons 1 and 2,,$5.75,,
7/20/2017,,$0.00,,-$44.50,eBay Fees,,-$45.50,,
7/21/2017,$7.00,-$0.50,-$2.77,,The Accidental Husband,,$2.73,,
7/22/2017,$50.00,-$1.75,-$2.77,$0.50,Willow,,$44.98,,
7/22/2017,$7.00,-$0.50,-$2.77,,Night Moves,,$2.73,,
7/24/2017,$5.50,-$0.46,-$2.77,$0.50,At Close Range,,$1.77,,
7/24/2017,$7.25,-$0.51,-$2.77,,Operation Petticoat,,$2.97,,
7/24/2017,$15.00,-$0.74,-$2.77,,Bamboozled,,$10.50,,
7/26/2017,$5.25,-$0.45,-$2.77,,Big Trouble in Little China,,$1.03,,
7/26/2017,$5.50,-$0.46,-$2.77,,Deadpool,,$1.27,,
7/26/2017,$6.50,-$0.49,-$2.77,,The Italian Job 1969,,$2.24,,
7/27/2017,$6.75,-$0.50,-$2.63,,Desperate Housewives Season 1,-$2.00,$0.62,,
7/27/2017,$7.50,-$0.52,-$2.77,,Now You See Me Blu-Ray,,$3.21,,
7/27/2017,$4.75,-$0.44,-$2.77,,Modern Family Season 2,-$4.33,-$3.79,,
7/28/2017,$6.00,-$0.47,-$2.77,,Don't Be a Menace...,,$1.76,,
7/29/2017,$6.75,-$0.50,-$2.77,,Schoolhouse Rock Election Collection,,$2.48,,
7/29/2017,$5.00,-$0.45,-$2.77,,The Pink Panther 2,,$0.79,,
7/29/2017,$6.00,-$0.47,-$2.77,,Footnote,,$1.76,,
7/31/2017,$5.00,-$0.45,-$2.77,,Sucker Punch Blu-Ray,,$0.79,,
8/1/2017,$8.50,-$0.55,-$2.77,,The Ghost and the Darkness,,$4.18,,
8/1/2017,$7.00,-$0.50,-$2.77,,Miss Potter,,$2.73,,
8/2/2017,$10.00,-$0.59,-$2.77,,Behind the Candelabra,,$5.64,,
8/2/2017,$7.50,-$0.52,-$2.77,,Treasure Planet,,$3.21,,
8/4/2017,$45.00,-$1.61,-$2.77,,Go Toward the Light,,$39.63,,
8/7/2017,$9.75,-$0.58,-$2.77,,Picking Up  the Pieces,,$5.40,,
8/7/2017,$8.25,-$0.54,-$2.77,,The Lone Ranger,,$3.94,,
8/7/2017,$9.00,-$0.56,-$2.77,,JFK,$0.50,$5.17,,
8/7/2017,$6.50,-$0.49,-$2.77,,First Do No Harm,,$2.24,,
8/7/2017,$5.25,-$0.45,-$2.77,,Star Trek: Into Darkness,,$1.03,,
8/7/2017,$4.75,-$0.44,-$2.77,,The West Wing Fourth Season 4 REPLACEMENT DISC 1,,$0.54,,
8/7/2017,$7.00,-$0.50,-$2.77,,Fangoria Presents Vol 1 Ep 5: Entity,,$2.73,,
8/7/2017,$6.00,-$0.47,-$2.77,,Thor,,$1.76,,
8/7/2017,$5.00,-$0.45,-$2.77,,The Secret of the Wings,$0.60,$1.39,,
8/8/2017,$6.00,-$0.47,-$2.77,,Laverne & Shirley Season 2,$0.60,$2.36,,
8/9/2017,$4.75,-$0.44,-$2.77,,Gone with the Wind,,$0.54,,
8/10/2017,$4.75,-$0.44,-$2.63,,The West Wing Season 5 REPLACEMENT DISC 1,,$0.68,,
8/10/2017,$5.25,-$0.45,-$2.63,,The West Wing Season 5 REPLACEMENT DISC 6,,$1.17,,
8/10/2017,$5.25,-$0.45,-$2.77,,Buffalo 66,,$1.03,,
8/10/2017,$5.75,-$0.47,-$2.77,,Kenny,,$1.51,,
8/11/2017,$11.50,-$0.63,-$2.77,,Dark Woods (Sammyville),,$7.10,,
8/13/2017,$5.50,-$0.46,-$2.77,,Masters of Horror: Pick Me Up,,$1.27,,
8/13/2017,$4.75,-$0.44,-$2.77,,The Computer Wore Tennis Shoes,,$0.54,,
8/13/2017,$7.00,-$0.50,-$2.77,,The Adventures of Buckaroo Banzai,,$2.73,,
8/13/2017,$7.50,-$0.52,-$2.77,,Willow,,$3.21,,
8/14/2017,$5.00,-$0.45,-$2.77,,The Crying Game,,$0.79,,
8/15/2017,$13.00,-$0.68,-$2.77,,Gracie's Choice,,$8.55,,
8/15/2017,$7.00,-$0.50,-$2.77,,6 Souls,,$2.73,,
8/16/2017,$7.50,-$0.52,-$2.77,,The Trial of  the Incredible Hulk,,$3.21,,
8/16/2017,$4.75,-$0.44,-$2.77,,Glengarry Glen Ross,,$0.54,,
8/17/2017,$6.00,-$0.47,-$2.77,,Humoresque,,$1.76,,
8/18/2017,$6.25,-$0.48,-$2.77,,Non-Stop,,$2.00,,
8/18/2017,$12.00,-$0.65,-$2.77,,Oliver Soundtrack and Stage Production,,$7.58,,
8/18/2017,$7.00,-$0.50,-$2.77,,Chloe,,$2.73,,
8/19/2017,$5.75,-$0.47,-$2.77,,Man on the Moon,,$1.51,,
8/19/2017,$4.75,-$0.44,-$2.77,,Bulworth,,$0.54,,
8/19/2017,,,,-$68.00,eBay Fees,,,,
8/21/2017,$10.00,-$0.59,-$2.77,,The Muppet Show Season 2,,$5.64,,
8/21/2017,$9.00,-$0.56,-$2.77,,Beverly Hills Cop Collection,,$4.67,,
8/23/2017,$4.75,-$0.44,-$2.77,,Barbarians at the Gate,,$0.54,,
8/23/2017,$4.50,-$0.43,-$2.77,,Nip Tuck Season 2 Disc 4 REPLACEMENT DISC,,$0.30,,
8/23/2017,$7.00,-$0.50,-$2.77,,Battlefield Earth,,$2.73,,
8/24/2017,$8.25,-$0.54,-$2.77,,The Many Adventures of Winnie the Pooh,$0.60,$4.54,,
8/24/2017,$4.75,-$0.44,-$2.77,,Captain Ron,,$0.54,,
8/25/2017,$5.75,-$0.47,-$2.77,,The Best of the Best of The Electric Company,,$1.51,,
8/25/2017,$6.00,-$0.47,-$2.77,,Drive Angry,,$1.76,,
8/25/2017,$5.00,-$0.45,-$2.77,,The Godfather,,$0.79,,
8/25/2017,$15.00,-$0.74,-$2.77,,Steven King's It,,$10.50,,
8/26/2017,,,,-$60.00,Purchased DVDs,,,,
8/26/2017,$5.50,-$0.46,-$2.77,,The Love Letter,,$1.27,,
8/26/2017,$6.50,-$0.49,-$2.77,,I Love Lucy: The Collector's Edition,,$2.24,,
8/26/2017,$12.00,-$0.65,-$2.77,,A Simple Plan,,$7.58,,
8/28/2017,$6.00,-$0.47,-$2.77,,The Mirror Crack'd,,$1.76,,
8/28/2017,$7.75,-$0.52,-$2.77,,Back to 1942,,$3.46,,
8/28/2017,$4.75,-$0.44,-$2.77,,City of God,,$0.54,,
8/28/2017,$8.00,-$0.53,-$2.77,,Take Shelter,,$3.70,,
8/28/2017,$5.50,-$0.46,-$2.77,,The Toy,,$1.27,,
8/30/2017,,$0.00,,,,,-$1.00,,
9/2/2017,$6.00,-$0.47,-$2.77,,X-Men Evolution: Mutants Rising,,$1.76,,
9/2/2017,$7.00,-$0.50,-$2.77,,The Voices,,$2.73,,
9/3/2017,$5.75,-$0.47,-$2.77,,Billy Joel Greatest Video Hits Vol III,,$1.51,,
9/3/2017,$6.00,-$0.47,-$2.77,,Jurassic Park,,$1.76,,
9/3/2017,$10.00,-$0.59,-$2.77,,Drowning Mona,,$5.64,,
9/3/2017,$6.50,-$0.49,-$2.77,,Out of the Ashes,,$2.24,,
9/4/2017,$5.25,-$0.45,-$2.77,,Bob Roberts,,$1.03,,
9/4/2017,$5.50,-$0.46,-$2.77,,Butter,,$1.27,,
9/4/2017,$12.00,-$0.65,-$2.63,,National Lampoon Collection: Barely Legal and Dorm Daze 1 and 2,,$7.72,,
9/4/2017,$5.00,-$0.45,-$2.77,,Secret Life of the American Teenager season 2,,$0.79,,
9/18/2017,$8.00,-$0.53,-$2.77,,Machete Kills,,$3.70,,
9/19/2017,,$0.00,,-$52.20,eBay Fees,,-$53.20,,
9/19/2017,$6.00,-$0.47,-$2.77,,Texas Killing Fields,,$1.76,,
9/19/2017,$5.00,-$0.45,-$2.77,,Avril Lavigne,,$0.79,,
9/19/2017,$5.75,-$0.47,-$2.63,,Sex and the City Season 4,-$2.00,-$0.35,,
9/20/2017,$8.00,-$0.53,-$2.63,,The 4400 Season 3,,$3.84,,
9/20/2017,$32.00,-$1.23,-$3.61,,Roseanne Seasons 1-6,-$18.00,$8.16,,
9/23/2017,$12.00,-$0.65,-$2.77,,True Blood Season 5,-$2.00,$5.58,,
9/23/2017,$4.75,-$0.44,-$2.77,,Intimate Affairs,,$0.54,,
9/25/2017,$4.75,-$0.44,-$2.77,,The West Winig Season 5 REPLACEMENT DISC 5,,$0.54,,
9/25/2017,$6.75,-$0.50,-$2.77,,The Company Men,,$2.48,,
9/26/2017,$5.25,-$0.45,-$2.77,,SNL - Best of Dan Aykroyd,,$1.03,,
9/26/2017,$35.00,-$1.32,-$2.77,,Night of the Twisters,,$29.92,,
9/28/2017,$4.75,-$0.44,-$2.77,,Hellevator,,$0.54,,
9/28/2017,$5.00,-$0.45,-$2.77,,Battle Royale 2: Survival Program,,$0.79,,
9/28/2017,$5.00,-$0.45,-$2.77,,Stand Up Guys,,$0.79,,
10/2/2017,$9.50,-$0.58,-$2.63,,Prison Break Season 1,-$2.00,$3.29,,
10/3/2017,$5.00,-$0.45,-$2.77,,Stargate SG-1 Season 1 Volume 3 REPLACEMENT DISC,$0.50,$1.29,,
10/4/2017,$14.00,-$0.71,-$2.77,,200 Cigarettes,,$9.52,,
10/5/2017,$10.00,-$0.59,-$2.77,,Survivor Australia Outback Season 2,,$5.64,,
10/5/2017,$6.00,-$0.47,-$2.77,,Absolon,,$1.76,,
10/5/2017,$6.00,-$0.47,-$2.77,,American Heist,,$1.76,,
10/5/2017,$5.00,-$0.45,-$2.77,,Stargate SG-1 Season 1 Volume 4 REPLACEMENT DISC,,$0.79,,
10/5/2017,$13.50,-$0.69,-$2.77,,4 Southwest Drink Coupons,,$9.04,,
10/6/2017,$5.75,-$0.47,-$2.77,,Suburban Commando,,$1.51,,
10/7/2017,$11.00,-$0.62,-$2.77,,Trucker,,$6.61,,
10/7/2017,,,,-$180.00,Purchased (800) DVDs,,,,
10/8/2017,$7.75,-$0.52,-$2.77,,Avatar Blu-Ray + DVD,,$3.46,,
10/8/2017,$5.75,-$0.47,-$2.77,,7th Heaven Season 1,-$2.00,-$0.49,,
10/8/2017,$6.75,-$0.50,-$2.77,,The Omen,,$2.48,,
10/8/2017,$5.50,-$0.46,-$2.77,,The Deer Hunter,,$1.27,,
10/9/2017,$25.00,-$1.03,-$2.77,,Survivor Africa Season 3,$0.60,$20.81,,
10/10/2017,$4.75,-$0.44,-$2.77,,Keeping the Faith,,$0.54,,
10/10/2017,$6.25,-$0.48,-$2.77,,Class Act,,$2.00,,
10/11/2017,$6.75,-$0.50,-$2.77,,2010: The Year We Make Contact,,$2.48,,
10/12/2017,$8.00,-$0.53,-$2.63,,Major Crimes Season 1,-$9.80,-$5.96,,
10/13/2017,$16.00,-$0.76,-$2.77,,Prison Break Season 2,-$2.00,$9.47,,
10/14/2017,$5.00,-$0.45,-$2.77,,The Devil's Tomb,,$0.79,,
10/14/2017,$5.50,-$0.46,-$2.77,,Snitch Blu-Ray,$0.75,$2.02,,
10/15/2017,,,,-$57.51,eBay Fees,,,,
10/16/2017,$4.75,-$0.44,-$2.77,,Towelhead,,$0.54,,
10/16/2017,$4.75,-$0.44,-$2.77,,Emma,,$0.54,,
10/16/2017,$6.25,-$0.48,-$2.63,,Some Like It Hot Blu-Ray,$0.75,$2.89,,
10/17/2017,$5.50,-$0.46,-$2.77,,Cedar Cove Season 1,$0.75,$2.02,,
10/17/2017,$4.75,-$0.44,-$2.77,,Spongebob Squarepants Halloween,,$0.54,,
10/17/2017,$9.50,-$0.58,-$2.63,,PS3: South Park - The Stick of Truth,$0.75,$6.04,,
10/18/2017,$5.75,-$0.47,-$2.77,,Black or White,,$1.51,,
10/18/2017,$5.00,-$0.45,-$2.77,,Operation Pacific,$0.75,$1.54,,
10/18/2017,$4.75,-$0.44,-$2.77,,Lone Survivor,$0.75,$1.29,,
10/19/2017,$6.00,-$0.47,-$2.61,,Overboard Blu-Ray,$0.75,$0.75,,
10/20/2017,$7.00,-$0.50,-$2.77,,,,$2.73,,
10/21/2017,$6.00,-$0.47,-$2.77,,The Andromeda Strain (2008),,$1.76,,
10/21/2017,$10.00,-$0.59,-$2.77,,A New Leaf,$0.75,$6.39,,
10/21/2017,$4.75,-$0.44,-$2.77,,Draft Day,,$0.54,,
10/21/2017,$9.50,-$0.58,-$2.77,,Notorious,$0.75,$5.90,,
10/22/2017,$8.00,-$0.53,-$2.77,,The Craft,,$3.70,,
10/22/2017,$4.50,-$0.43,-$2.77,,Red 2,$0.75,$1.05,,
10/22/2017,$11.00,-$0.62,-$2.63,,Alias Smith and Jones: The Complete Series,$0.75,$7.50,,
10/22/2017,$6.00,-$0.47,-$2.61,,Lone Survivor Blu-Ray,$0.75,$2.67,,
10/24/2017,$4.75,-$0.44,-$2.77,,"The Office, Season 1",,$0.54,,
10/24/2017,$5.00,-$0.45,-$2.77,,High Roller: The Stu Unger Story,,$0.79,,
10/25/2017,$5.00,-$0.45,-$2.77,,Soul Surfer,$0.75,$1.54,,
10/25/2017,$15.00,-$0.74,-$2.77,,Star Wars Prequel Trilogy Blu-Ray,$0.75,$11.25,,
10/26/2017,$8.00,-$0.53,-$2.77,,The Exorcist 3,,$3.70,,
10/26/2017,$12.00,-$0.65,-$2.77,,A New Leaf,$0.75,$8.33,,
10/27/2017,$8.50,-$0.55,-$2.77,,Tru Calling Season 1,-$1.00,$3.18,,
10/27/2017,$5.00,-$0.45,-$2.77,,DysFunKtional Family,,$0.79,,
10/28/2017,$5.00,-$0.45,-$2.77,,The Omega Man,$0.75,$1.54,,
10/28/2017,$5.00,-$0.45,-$2.77,,Tyler Perry's The Single Moms Club,$0.75,$1.54,,
10/28/2017,$8.00,-$0.53,-$2.77,,The Deep End of the Ocean,,$3.70,,
10/29/2017,$5.00,-$0.45,-$2.77,,"Michael J. Fox Collection: For Love or Money, The Hard Way",,$0.79,,
10/29/2017,$12.00,-$0.65,-$2.77,,PSI Factor Season 2,-$3.00,$4.58,,
10/29/2017,$8.75,-$0.55,-$2.77,,Quake 4,$0.75,$5.18,,
10/29/2017,$5.25,-$0.45,-$2.77,,The Avengers DVD+Blu-Ray,$0.75,$1.78,,
10/29/2017,$8.00,-$0.53,-$2.77,,Once Upon a Time in the West,$0.75,$4.45,,
10/29/2017,$8.00,-$0.53,-$2.77,,AD&D Granadier Dragon Lords Monster Manuscript 1986,$1.00,$4.70,,
10/29/2017,$9.75,-$0.58,-$2.77,,Bomb the System,,$5.40,,
10/29/2017,$5.00,-$0.45,-$2.77,,Redemption,$0.75,$1.54,,
10/29/2017,$6.50,-$0.49,-$2.77,,Sarafina,,$2.24,,
10/30/2017,$6.00,-$0.47,-$3.18,,Alias Season 1,-$2.00,-$0.65,,
10/31/2017,$8.00,-$0.53,-$2.77,,Blue Ruin,$0.75,$4.45,,
10/31/2017,$4.75,-$0.44,-$2.77,,Thanks for Sharing INCL DIGITAL,$0.75,$1.29,,
10/31/2017,$5.50,-$0.46,-$2.77,,Bubble Boy,$0.75,$2.02,,
11/1/2017,$4.00,-$0.42,-$2.63,,Free Birds,$0.75,$0.70,,
11/1/2017,$4.75,-$0.44,-$2.77,,Eight Men Out,,$0.54,,
11/1/2017,$5.75,-$0.47,-$2.77,,3 Extremes,,$1.51,,
11/1/2017,$7.50,-$0.52,-$2.77,,The Andromeda Strain,$0.75,$3.96,,
11/2/2017,$4.75,-$0.44,-$2.77,,Thanks for Sharing INCL DIGITAL,$0.75,$1.29,,
11/2/2017,$5.75,-$0.47,-$2.77,,Quartet,,$1.51,,
11/2/2017,$10.00,-$0.59,-$2.77,,Sleeping Queens Card Game,,$5.64,,
11/2/2017,$5.00,-$0.45,-$2.77,,A Single Shot,$0.75,$1.54,,
11/2/2017,$11.00,-$0.62,-$2.77,,Major Crimes Season 4,-$12.89,-$6.28,,
11/2/2017,$4.00,-$0.42,-$2.63,,Free Birds,$0.75,$0.70,,
11/2/2017,$4.00,-$0.42,-$2.63,,Free Birds,$0.75,$0.70,,
11/4/2017,$7.00,-$0.50,-$2.77,,Sneakers Blu-Ray,$0.75,$3.48,,
11/4/2017,$4.75,-$0.44,-$2.77,,About Time,$0.75,$1.29,,
11/4/2017,$4.75,-$0.44,-$2.77,,You Again,,$0.54,,
11/4/2017,$9.00,-$0.56,-$2.77,,Walking Tall,,$4.67,,
11/4/2017,$4.75,-$0.44,-$2.77,,Bending the Rules,$0.75,$1.29,,
11/4/2017,$12.50,-$0.66,-$2.77,,Nymphomania Volume I and II,$0.75,$8.82,,
11/4/2017,$6.75,-$0.50,-$2.77,,Damien: Omen II,$0.50,$2.98,,
11/5/2017,$4.75,-$0.44,-$2.77,,Something Borrowed,$0.75,$1.29,,
11/5/2017,$5.75,-$0.47,-$2.77,,The Incredible Adventures of Wallace and Gromit,,$1.51,,
11/5/2017,$9.00,-$0.56,-$2.77,,Charade Blu-Ray,$0.75,$5.42,,
11/6/2017,$4.75,-$0.44,-$2.77,,Special ID,$0.75,$1.29,,
11/6/2017,$9.00,-$0.56,-$2.77,,The Osbournes Season 2,,$4.67,,
11/6/2017,$5.25,-$0.45,-$2.77,,Blazing Saddles,$0.75,$1.78,,
11/6/2017,$6.75,-$0.50,-$2.77,,The LEGO Movie Video Game PS3,$0.75,$3.23,,
11/7/2017,$4.00,-$0.42,-$2.77,,Free Birds,,-$0.19,,
11/7/2017,$5.75,-$0.47,-$2.77,,PSI Factor Season 3,,$1.51,,
11/7/2017,$5.00,-$0.45,-$2.77,,Wii Brunswick Pro Bowling,,$0.79,,
11/7/2017,$4.75,-$0.44,-$2.77,,Lone Survivor,,$0.54,,
11/7/2017,$4.50,-$0.43,-$2.77,,Narrow Margin,,$0.30,,
11/7/2017,,$0.00,,-$5.50,Refund: Butter. Damaged in mail.,,-$6.50,,
11/8/2017,$7.00,-$0.50,-$2.77,,Riddick,$0.75,$3.48,,
11/8/2017,$4.75,-$0.44,-$2.77,,Elysium Blu-Ray,$0.75,$1.29,,
11/8/2017,$4.75,-$0.44,-$2.77,,About Time,$0.75,$1.29,,
11/8/2017,$5.50,-$0.46,-$2.77,,Xbox Ryse: Sone of Rome,$0.75,$2.02,,
11/9/2017,$4.75,-$0.44,-$2.77,,The Other Sister,$0.75,$1.29,,
11/9/2017,$7.00,-$0.50,-$2.77,,American Horror Story Asylum Season 2,$0.75,$3.48,,
11/9/2017,$4.75,-$0.44,-$2.77,,About Time,$0.75,$1.29,,
11/9/2017,$10.00,-$0.59,-$2.63,,The Excellent Eighties 50 Movie Pack,$0.75,$6.53,,
11/11/2017,,$0.00,,-$6.75,Refund: Case for PS3 LEGO Game actually contained The LEGO Movie,,-$7.75,,
11/11/2017,$5.50,-$0.46,-$2.77,,Visions of Ibiza,,$1.27,,
11/11/2017,$4.75,-$0.44,-$2.77,,Stomp Out Loud,$0.75,$1.29,,
11/13/2017,$4.75,-$0.44,-$2.63,,Rob the Mob Blu-Ray,$0.75,$1.43,,
11/13/2017,$5.00,-$0.45,-$2.77,,A Soldier's Story,$0.75,$1.54,,
11/13/2017,$5.00,-$0.45,-$2.77,,Open Grave,$0.75,$1.54,,
11/14/2017,$5.00,-$0.45,-$2.77,,Road to Perdition Blu-Ray,$0.75,$1.54,,
11/14/2017,$6.00,-$0.47,-$2.77,,Felicity Season 2,-$2.00,-$0.24,,
11/14/2017,$4.75,-$0.44,-$2.77,,Iris: A Memoir,,$0.54,,
11/15/2017,$5.00,-$0.45,-$2.77,,Spider Man 1,$0.75,$1.54,,
11/15/2017,$5.00,-$0.45,-$2.61,,Samurai Jack Season 4 Disc 2 REPLACEMENT DISC,,$0.95,,
11/16/2017,$5.00,-$0.45,-$2.77,,Mystery Team,,$0.79,,
11/16/2017,$9.50,-$0.58,-$2.77,,Rio Lobo Blu-Ray,$0.75,$5.90,,
11/16/2017,$4.75,-$0.44,-$2.61,,Bones Season 1,,$0.70,,
11/16/2017,$4.75,-$0.44,-$2.77,,Saving Mr. Banks Blu-Ray,$0.75,$1.29,,
11/17/2017,,$0.00,,-$24.64,Purchased shipping envelopes,,-$25.64,,
11/18/2017,$4.75,-$0.44,-$2.77,,The Ref,,$0.54,,
11/18/2017,$5.50,-$0.46,-$2.77,,Monty Python's Meaning of Life,$0.50,$1.77,,
11/18/2017,,$0.00,,-$2.63,Re-mailed Charade after it was returned,,-$3.63,,
11/19/2017,,$0.00,,-$79.68,eBay Fees,,-$80.68,,
11/19/2017,$5.25,-$0.45,-$2.77,,No Impact Man,,$1.03,,
11/19/2017,$4.75,-$0.44,-$2.77,,Thanks for Sharing,$0.75,$1.29,,
11/19/2017,$7.50,-$0.52,-$2.77,,Odd Thomas,$0.75,$3.96,,
11/19/2017,$5.50,-$0.46,-$2.61,,Riddick Blu-Ray,$0.75,$2.18,,
11/19/2017,$31.00,-$1.20,-$2.77,,Eight is Enough Season 2 Part 2,-$2.00,$24.03,,
11/19/2017,$8.00,-$0.53,-$2.77,,Shaft,,$3.70,,
11/19/2017,$8.00,-$0.53,-$2.61,,Once Upon a Time in the West Blu-Ray,$0.75,$4.61,,
11/20/2017,$7.00,-$0.50,-$2.77,,Road to Paloma,$0.75,$3.48,,
11/24/2017,$4.75,-$0.44,-$2.61,,Gravity,$0.75,$1.45,,
11/24/2017,$9.00,-$0.56,-$2.77,,Fearless,$0.50,$5.17,,
11/24/2017,$5.00,-$0.45,-$2.77,,Spartacus,$0.75,$1.54,,
11/24/2017,$5.00,-$0.45,-$2.77,,Spartacus,$0.75,$1.54,,
11/25/2017,$16.00,-$0.76,-$2.61,,The Red and Green Show,$0.75,$12.38,,
11/25/2017,$7.00,-$0.50,-$2.77,,Great Balls of Fire,$0.75,$3.48,,
11/25/2017,$6.50,-$0.49,-$2.77,,Homefront,$0.75,$2.99,,
