,,,,,,,,,
 ,,,,,,,,,
$820.94,Payment Received,PayPal Fee,Postage,Other Costs,,Purchase Price Offset,,DVD Cost:,1.15
3/27/2020,$13.00,-$0.68,-$2.80,,The Night the Bridge Fell Down,-$6.93,$1.44,,
3/30/2020,$7.00,-$0.50,-$2.80,,Psych Season 4,$0.35,$2.90,,
3/30/2020,$20.00,-$0.88,-$2.80,,Cleopatra 2525,$0.50,$15.67,,
4/1/2020,$6.50,-$0.49,-$2.80,,The Nanny Season 1,,$2.06,,
4/4/2020,$8.00,-$0.53,-$2.80,,Carnival of Souls,,$3.52,,
4/6/2020,$6.00,-$0.47,-$2.80,,Oz Season 4,-$0.34,$1.24,,
4/6/2020,$17.00,-$0.79,-$2.80,,Springhill Season 1,,$12.26,,
4/6/2020,$50.00,-$1.75,-$2.80,,The Twilight Zone 2002,$0.50,$44.80,,
4/7/2020,$7.00,-$0.50,-$2.80,,The Unit Season 1,,$2.55,,
4/7/2020,$18.00,-$0.82,-$3.33,,Popular Season 2,-$2.00,$10.70,,
4/7/2020,$10.50,-$0.60,-$2.80,,Saving Grace Season 1,$0.35,$6.30,,
4/7/2020,$45.00,-$1.61,-$2.80,,Titus Seasons 1 and 2,-$2.00,$37.45,,
4/8/2020,$6.00,-$0.47,-$2.80,,The outer Limits: Time  Travel and Infinity,$0.50,$2.08,,
4/8/2020,$7.00,-$0.50,$0.00,-$1.00,The Outer Limits: Fantastic Androids and Robots,$0.50,$4.85,,
4/9/2020,$6.00,-$0.47,-$2.80,,The Blue Lagoon / Return to The Blue Lagoon,$0.50,$2.08,,
4/10/2020,$10.00,-$0.59,-$2.80,,The Lake House / Murder By Numbers / Forces of Nature / Hangmen - Sandra Bullock,-$1.60,$3.86,,
4/10/2020,$15.00,-$0.74,-$3.33,,Andromeda Season 5,-$2.00,$7.79,,
4/10/2020,$14.00,-$0.71,-$2.80,,"Dirty Mary, Crazy Larry",$0.50,$9.84,,
4/10/2020,$6.50,-$0.49,-$2.80,,The Best Thief in the World,,$2.06,,
4/13/2020,$7.00,-$0.50,-$2.80,,Safe,,$2.55,,
4/13/2020,$7.00,-$0.50,-$3.86,,Andromeda Season 1,-$2.00,-$0.51,,
4/13/2020,$7.00,-$0.50,-$2.80,,The Fox and the Hound 1 and 2,$0.55,$3.10,,
4/13/2020,$12.00,-$0.65,-$3.25,,Terror Storm,,$6.95,,
4/13/2020,$5.00,-$0.45,-$2.80,,Paddington,$0.55,$1.16,,
4/13/2020,$9.00,-$0.56,-$2.80,,The Machine,,$4.49,,
4/15/2020,$8.00,-$0.53,-$2.80,,Anvil,,$3.52,,
4/16/2020,$17.00,-$0.79,-$2.80,,Popular Season 1,,$12.26,,
4/16/2020,$5.50,-$0.46,-$2.80,,Cougar Town Season 1,$0.50,$1.59,,
4/16/2020,$100.00,-$3.20,-$2.80,,Titus Season 3,-$2.00,$90.85,,
4/18/2020,$25.00,-$1.03,-$2.80,,Don't Trust the B---- in Apt 23,-$40.00,-$19.98,,
4/18/2020,$10.50,-$0.60,-$2.80,,Duran Duran: Live from London,,$5.95,,
4/20/2020,$13.00,-$0.68,-$2.80,,The Originals Season 2,,$8.37,,
4/20/2020,$11.00,-$0.62,-$2.80,,Boondocks Season 4,,$6.43,,
4/20/2020,$5.75,-$0.47,-$2.80,,World War Z,$0.55,$1.88,,
4/20/2020,,$0.00,,-$103.44,eBay Fees,,-$104.59,,
4/21/2020,$5.50,-$0.46,-$2.80,,Red Dawn,-$1.00,$0.09,,
4/22/2020,$7.00,-$0.50,-$2.80,,Undue Influence,,$2.55,,
4/22/2020,$7.00,-$0.50,-$2.80,,Tart,$0.50,$3.05,,
4/22/2020,$6.00,-$0.47,-$2.80,,Spy,$0.35,$1.93,,
4/23/2020,$8.00,-$0.53,-$2.80,,Mission Impossible Season 1,,$3.52,,
4/24/2020,$16.00,-$0.76,-$2.80,,Searching for the Wrong-Eyed Jesus,,$11.29,,
4/24/2020,$6.00,-$0.47,-$2.80,,Avengers: Eath's Mightiest Heroes,,$1.58,,
4/24/2020,$11.50,-$0.63,-$2.80,,Alias Season 2,$0.35,$7.27,,
4/24/2020,$5.50,-$0.46,-$2.80,,Excess Baggage,$0.50,$1.59,,
4/25/2020,$7.00,-$0.50,-$2.80,,Missing in America,,$2.55,,
4/28/2020,$15.00,-$0.74,-$2.80,,Saturn 3,$0.50,$10.82,,
4/28/2020,$20.00,-$0.88,-$2.80,,Alias Season 5,$0.35,$15.52,,
4/29/2020,$7.00,-$0.50,-$2.80,,12 Monkeys Season 1,-$10.00,-$7.45,,
4/30/2020,$6.50,-$0.49,-$2.80,,Black Knight,$1.00,$3.06,,
5/1/2020,$7.00,-$0.50,-$2.80,,Escape,,$2.55,,
5/1/2020,$7.00,-$0.50,-$2.80,,House Season 5,$0.35,$2.90,,
5/2/2020,$7.00,-$0.50,-$2.80,,Aqua Teen Hunger Force Season 4,,$2.55,,
5/2/2020,$6.00,-$0.47,-$2.80,,Reba Season 5,$0.35,$1.93,,
5/2/2020,$9.00,-$0.56,-$2.80,,House Season 7,$0.35,$4.84,,
5/2/2020,$9.00,-$0.56,-$2.80,,The Outer Limits - Death and Beyond Collection,$0.50,$4.99,,
5/2/2020,$5.50,-$0.46,-$2.80,,Billy Joel Live at Yankee Stadium,,$1.09,,
5/5/2020,$7.75,-$0.52,-$2.80,,Weird All Yankovic: The Ultimate Video Collection,,$3.28,,
5/5/2020,$13.00,-$0.68,-$2.80,,Swerve,$0.69,$9.06,,
5/9/2020,$15.00,-$0.74,-$2.80,,The Pretender Season 2,,$10.32,,
5/10/2020,$5.50,-$0.46,-$2.80,,Hawaii Five-0 Season 4 Disc 2 REPLACEMENT DISC,$0.80,$1.89,,
5/10/2020,$12.50,-$0.66,-$2.80,,Birds of Prey - Batman's Little Girl,$0.35,$8.24,,
5/10/2020,$11.00,-$0.62,-$2.80,,Caprica Season 1.0 Discs 3 and 4,$0.20,$6.63,,
5/10/2020,$10.00,-$0.59,-$2.80,,The Cleveland Show Season 1,,$5.46,,
5/11/2020,$40.00,-$1.46,-$2.80,,The Pretender Season 3,$0.35,$34.94,,
5/12/2020,$13.00,-$0.68,-$2.80,,CSI: NY - Season 4,$0.35,$8.72,,
5/12/2020,$11.00,-$0.62,-$2.80,,CSI: NY - Season 7,$0.35,$6.78,,
5/12/2020,$6.50,-$0.49,-$2.80,,Breakdown,$1.00,$3.06,,
5/13/2020,$9.50,-$0.58,-$2.80,,The Waltons,,$4.97,,
5/13/2020,,$0.00,,-$13.99,Eyeglass Wipes,,-$15.14,,
5/16/2020,$11.00,-$0.62,-$2.80,,Carnivale Season 2,-$2.00,$4.43,,
5/16/2020,$6.50,-$0.49,-$2.80,,"The Incredible Hulk, Animated",-$2.00,$0.06,,
5/16/2020,$28.00,-$1.11,-$2.80,,The Pretender Season 2,$0.35,$23.29,,
5/18/2020,$15.00,-$0.74,-$2.80,,Cruel Intentions Trilogy,$0.50,$10.82,,
5/18/2020,$7.50,-$0.52,-$2.80,,Fist of Legend,,$3.03,,
5/18/2020,$8.00,-$0.53,-$2.80,,Olivia Takes Ballet,$0.35,$3.87,,
5/19/2020,$20.00,-$0.88,-$2.80,,Silver Streak,,$15.17,,
5/20/2020,$9.00,-$0.56,-$2.80,,CSI: Crime Scene Investigators Season 2,$0.35,$4.84,,
5/20/2020,,$0.00,,-$81.87,eBay Fees,,-$83.02,,
5/21/2020,$6.00,-$0.47,-$2.80,,Wild Boyz Season 1 Disc 2 REPLACMENT DISC,$0.75,$2.33,,
5/22/2020,$8.00,-$0.53,-$2.80,,Nobody Lives Forever,$0.75,$4.27,,
5/22/2020,$14.00,-$0.71,-$2.80,,Ready to Rumble,,$9.34,,
5/23/2020,$10.00,-$0.59,-$2.80,,The Railway Children,,$5.46,,
5/25/2020,$8.00,-$0.53,-$2.80,,Bethany Getting Married Season 1,$0.50,$4.02,,
5/25/2020,$11.00,-$0.62,-$2.80,,Bionic Woman Season 2,$0.35,$6.78,,
5/25/2020,$6.50,-$0.49,-$2.80,,Asylum,,$2.06,,
5/27/2020,$14.00,-$0.71,-$2.80,,Psych Season 5 ,$0.35,$9.69,,
5/27/2020,6.5,-$0.49,-$2.80,,Blood Ties Blu-Ray,,$2.06,,
5/27/2020,$12.00,-$0.65,-$2.80,,CSI: Miami Season 5,,$7.40,,
5/27/2020,$6.50,-$0.49,-$2.80,,Clean Slate,$0.35,$2.41,,
5/28/2020,$6.00,-$0.47,-$2.80,,Andromeda Season 4 Collection 4 disc 1,$0.70,$2.28,,
5/28/2020,$7.50,-$0.52,-$2.80,,The Odd Couple Season 1,,$3.03,,
5/29/2020,$25.00,-$1.03,-$2.80,,The Pretender Season 4,-$0.25,$19.78,,
5/29/2020,$10.51,-$0.60,-$2.80,,Born American,-$1.00,$4.96,,
5/29/2020,$10.00,-$0.59,-$2.80,,Airheads,-$1.00,$4.46,,
